Price,USD Index
Ticker,DX-Y.NYB
Date,
2025-01-02,109.38999938964844
2025-01-03,108.94999694824219
2025-01-06,108.26000213623047
2025-01-07,108.54000091552734
2025-01-08,109.08999633789062
2025-01-09,109.18000030517578
2025-01-10,109.6500015258789
2025-01-13,109.95999908447266
2025-01-14,109.2699966430664
2025-01-15,109.08999633789062
2025-01-16,108.95999908447266
2025-01-17,109.3499984741211
2025-01-21,108.05999755859375
2025-01-22,108.16999816894531
2025-01-23,108.05000305175781
2025-01-24,107.44000244140625
2025-01-27,107.33999633789062
2025-01-28,107.87000274658203
2025-01-29,108.0
2025-01-30,107.80000305175781
2025-01-31,108.37000274658203
2025-02-03,108.98999786376953
2025-02-04,107.95999908447266
2025-02-05,107.58000183105469
2025-02-06,107.69000244140625
2025-02-07,108.04000091552734
2025-02-10,108.31999969482422
2025-02-11,107.95999908447266
2025-02-12,107.94000244140625
2025-02-13,107.30999755859375
2025-02-14,106.56999969482422
2025-02-18,107.05000305175781
2025-02-19,107.16999816894531
2025-02-20,106.33999633789062
2025-02-21,106.61000061035156
2025-02-24,106.5999984741211
2025-02-25,106.30999755859375
2025-02-26,106.41999816894531
2025-02-27,107.23999786376953
2025-02-28,107.61000061035156
2025-03-03,106.75
2025-03-04,105.73999786376953
2025-03-05,105.73999786376953
2025-03-06,104.05999755859375
2025-03-07,103.83999633789062
2025-03-10,103.91000366210938
2025-03-11,103.44000244140625
2025-03-12,103.61000061035156
2025-03-13,103.83000183105469
2025-03-14,103.72000122070312
2025-03-17,103.37000274658203
2025-03-18,103.23999786376953
2025-03-19,103.43000030517578
2025-03-20,103.8499984741211
2025-03-21,104.08999633789062
2025-03-24,104.26000213623047
2025-03-25,104.18000030517578
2025-03-26,104.55000305175781
2025-03-27,104.06999969482422
2025-03-28,104.04000091552734
2025-03-31,104.20999908447266
2025-04-01,104.26000213623047
2025-04-02,103.80999755859375
2025-04-03,102.06999969482422
2025-04-04,103.0199966430664
2025-04-07,103.26000213623047
2025-04-08,102.95999908447266
2025-04-09,102.9000015258789
2025-04-10,100.87000274658203
2025-04-11,99.77999877929688
2025-04-14,99.63999938964844
2025-04-15,100.22000122070312
2025-04-16,99.37999725341797
2025-04-17,99.37999725341797
2025-04-21,98.27999877929688
2025-04-22,98.91999816894531
2025-04-23,99.83999633789062
2025-04-24,99.29000091552734
2025-04-25,99.47000122070312
2025-04-28,99.01000213623047
2025-04-29,99.23999786376953
2025-04-30,99.47000122070312
2025-05-01,100.25
2025-05-02,100.0
2025-05-05,99.83000183105469
2025-05-06,99.23999786376953
2025-05-07,99.61000061035156
2025-05-08,100.63999938964844
2025-05-09,100.33999633789062
2025-05-12,101.79000091552734
2025-05-13,101.0
2025-05-14,101.04000091552734
2025-05-15,100.87999725341797
2025-05-16,101.08999633789062
2025-05-19,100.43000030517578
2025-05-20,100.12000274658203
2025-05-21,99.55999755859375
2025-05-22,99.95999908447266
2025-05-23,99.11000061035156
2025-05-26,98.93000030517578
2025-05-27,99.5199966430664
2025-05-28,99.87999725341797
2025-05-29,99.27999877929688
2025-05-30,99.33000183105469
2025-06-02,98.69999694824219
2025-06-03,99.25
2025-06-04,98.79000091552734
2025-06-05,98.73999786376953
2025-06-06,99.19000244140625
2025-06-09,98.94000244140625
2025-06-10,99.05000305175781
2025-06-11,98.62999725341797
2025-06-12,97.91999816894531
2025-06-13,98.18000030517578
2025-06-16,98.0
2025-06-17,98.81999969482422
2025-06-18,98.91000366210938
2025-06-20,98.70999908447266
2025-06-23,98.41999816894531
2025-06-24,97.86000061035156
2025-06-25,97.68000030517578
2025-06-26,97.1500015258789
2025-06-27,97.4000015258789
