model,exo_var,horizon,rmse,mae,mape
best_model_fn,SLX,1,10.651883762381653,8.185885010341151,3.5954905922352407
best_model_fn,SLX,3,13.618743450141418,10.242454843635068,4.498891712354659
best_model_fn,SLX,7,17.199045584861825,13.867419469738056,6.10235451578109
best_model_fn,CL=F,1,10.763955314281386,8.235299211479179,3.6100048346476177
best_model_fn,CL=F,3,12.782035715308336,9.681254555121011,4.206673874413515
best_model_fn,CL=F,7,16.101549371243827,11.973681163601652,5.163497394327202
best_model_fn,ITA,1,9.67136888920292,7.0306814569653415,3.0833609740646475
best_model_fn,ITA,3,12.983699380202072,9.096538594592577,3.96489656182694
best_model_fn,ITA,7,16.137057190837304,12.39751500381933,5.414592232932483
best_model_fn,^VIX,1,12.218124742016208,9.07026345349028,3.977393807720833
best_model_fn,^VIX,3,16.02613150894025,11.756747995503588,5.139579984186618
best_model_fn,^VIX,7,18.78918410660034,13.52095740970625,5.819444937943585
best_model_fn,^TNX,1,11.90248264212327,9.862888037903796,4.374171439981556
best_model_fn,^TNX,3,13.421921577444492,10.240330298990136,4.523247779369429
best_model_fn,^TNX,7,15.233405170179068,11.967893915099166,5.254016144082804
best_model_fn,DX-Y.NYB,1,12.045712861448829,9.245525607558818,4.012148365462001
best_model_fn,DX-Y.NYB,3,14.563809245715715,10.590121609096611,4.580005591847034
best_model_fn,DX-Y.NYB,7,16.852413891758108,12.90650700907442,5.580656618391363
best_model_fn,JETS,1,10.578576249621037,8.370225073834009,3.705755193223989
best_model_fn,JETS,3,12.973110669532083,9.449490861949762,4.141505432553155
best_model_fn,JETS,7,13.79603596918655,10.75522360247691,4.684570478684004
best_model_fn,XLI,1,10.977091187941689,8.07811734547101,3.540256690013184
best_model_fn,XLI,3,14.356362941045976,10.868974816055903,4.750005206072084
best_model_fn,XLI,7,16.259904464059062,12.610986201352729,5.497462676276425
best_model_fn,IYT,1,11.15226139229878,8.711898684611537,3.825597283330621
best_model_fn,IYT,3,12.754924232241894,9.444354858935608,4.097547642001191
best_model_fn,IYT,7,16.49558290256865,12.574213222881404,5.436786420262658
