model,seasonal,horizon,rmse,mae,mape
"ARIMA(0, 1, 2)",False,1,6.6627223291468685,5.136682549880599,2.283789759691578
"ARIMA(0, 1, 2)",False,3,10.219683735535327,7.545057447545956,3.2950359972066607
"ARIMA(0, 1, 2)",False,7,16.194451027892555,12.147916265052778,5.245848918343651
"SARIMA(0, 1, 2)",True,1,6.65151392818988,5.135255906730424,2.287858258300889
"SARIMA(0, 1, 2)",True,3,10.49132636142092,8.192395786639612,3.642229169756814
"SARIMA(0, 1, 2)",True,7,15.840918381863194,12.883673462019512,5.698156571575668
