model,horizon,rmse,mae,mape
create_lstm_tanh_dropout_model,1,32.43120913097068,31.602400071812074,27.398326566566833
create_lstm_tanh_dropout_model,3,32.95978673317367,32.30526077775664,28.04742100716017
create_lstm_tanh_dropout_model,7,33.05182536145094,32.45617674435656,28.13013071812281
