model,horizon,rmse,mae,mape
create_lstm_tanh_dropout_model,1,1.298721667312873,1.0825714484129094,2.8400846632607855
create_lstm_tanh_dropout_model,3,1.483449919765195,1.2237972159505413,3.199797992317132
create_lstm_tanh_dropout_model,7,1.8991494380777254,1.586678120719095,4.135692243399904
