model,horizon,rmse,mae,mape
LSTM (baseline),1,1.2011785075636565,0.9045261549773838,2.3879479121672134
LSTM (baseline),3,1.2179461600516461,0.9706917208343914,2.5564870140839897
LSTM (baseline),7,1.2770839476160802,1.0699334656121589,2.790857958289989
