model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 2) + Season(1, 0, 1, 30)",1,6.635272816231543,5.36905894588481,2.338475037186888,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 2) + Season(1, 0, 1, 30)",3,11.016512883525023,7.528519337390257,3.1998134440032167,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 2) + Season(1, 0, 1, 30)",7,17.63180548257346,13.962549788677068,5.791852270258389,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
