model,exo_var,horizon,rmse,mae,mape,category
best_model_fn,SLX,1,8.568309044862207,7.176040528267028,3.4748282369130323,commodities
best_model_fn,SLX,3,9.06333676987135,8.060193377719173,3.9196759613705328,commodities
best_model_fn,SLX,7,11.021588683418631,9.585442060574676,4.645889497107426,commodities
best_model_fn,CL=F,1,9.905395097945531,8.212391250417284,3.9705848312775434,commodities
best_model_fn,CL=F,3,9.961250580656726,8.012343723827678,3.878388653491569,commodities
best_model_fn,CL=F,7,10.130368108347891,8.861841472258673,4.281948596443472,commodities
best_model_fn,ITA,1,7.3818104281128605,6.084824843299528,2.9599404168285526,sectoral
best_model_fn,ITA,3,9.213765809166237,7.373040941419981,3.6038907666399984,sectoral
best_model_fn,ITA,7,12.656085500827707,11.411769244807418,5.547400505876732,sectoral
best_model_fn,^VIX,1,9.466530740388947,8.101542215791621,3.912060574125204,macro
best_model_fn,^VIX,3,9.398379400790422,8.006296355349809,3.8626349079717457,macro
best_model_fn,^VIX,7,11.986568957382453,10.737414980165934,5.17037758173539,macro
best_model_fn,^TNX,1,9.5628602000922,7.664667621331622,3.683012034165124,macro
best_model_fn,^TNX,3,11.149120328323512,9.634743492693374,4.657868389300661,macro
best_model_fn,^TNX,7,12.11705752510879,10.417477466126236,5.0123783159176005,macro
best_model_fn,DX-Y.NYB,1,7.031104765947858,5.656663675364615,2.7528904166219914,commodities
best_model_fn,DX-Y.NYB,3,8.921080155410582,7.417507579259184,3.609701272072472,commodities
best_model_fn,DX-Y.NYB,7,10.662070118879225,9.811220634648713,4.783440325660137,commodities
best_model_fn,JETS,1,7.004273415777994,5.463765667433469,2.648318188001828,sectoral
best_model_fn,JETS,3,9.167190391639386,7.323497350530678,3.5385207834746994,sectoral
best_model_fn,JETS,7,10.95274062011427,9.39555420490552,4.5392309213661886,sectoral
best_model_fn,XLI,1,8.492117955581739,6.895305290190086,3.3304785202827847,sectoral
best_model_fn,XLI,3,9.92177050693763,8.562311874417214,4.1343272411256695,sectoral
best_model_fn,XLI,7,11.972669372263894,10.668226249366926,5.143047424073648,sectoral
best_model_fn,IYT,1,8.646057427510552,6.6079604834455,3.197029479584459,sectoral
best_model_fn,IYT,3,9.64918670415214,8.17991601681308,3.974007451198744,sectoral
best_model_fn,IYT,7,12.813142328815657,11.58810450553524,5.594419991766757,sectoral
