model,horizon,rmse,mae,mape
create_lstm_tanh_dropout_model,1,15.3254484947981,11.928586068490063,5.212242984145196
create_lstm_tanh_dropout_model,3,16.289845009591552,12.985595512814996,5.652868435535662
create_lstm_tanh_dropout_model,7,20.157839572174815,15.08725481442674,6.513470289096849
