model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",1,2.551610512217494,2.1129452303903298,1.832242757860035,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",3,4.022983203016536,3.381657804643286,2.9113237202770996,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",7,5.670439435508912,3.8924857720397275,3.2518762030719532,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
