Price,Aerospace ETF
Ticker,ITA
Date,
2025-01-02,144.4831085205078
2025-01-03,145.8196258544922
2025-01-06,144.59283447265625
2025-01-07,144.46316528320312
2025-01-08,145.62013244628906
2025-01-10,144.70254516601562
2025-01-13,145.7498016357422
2025-01-14,147.69473266601562
2025-01-15,148.50262451171875
2025-01-16,149.95883178710938
2025-01-17,151.2255096435547
2025-01-21,156.09283447265625
2025-01-22,155.1752166748047
2025-01-23,158.08761596679688
2025-01-24,156.312255859375
2025-01-27,154.61668395996094
2025-01-28,154.5269012451172
2025-01-29,153.55943298339844
2025-01-30,156.8109588623047
2025-01-31,156.17262268066406
2025-02-03,156.38204956054688
2025-02-04,155.424560546875
2025-02-05,156.9106903076172
2025-02-06,156.62142944335938
2025-02-07,156.04295349121094
2025-02-10,156.7710418701172
2025-02-11,157.0702667236328
2025-02-12,156.0030517578125
2025-02-13,154.64659118652344
2025-02-14,153.15049743652344
2025-02-18,154.33740234375
2025-02-19,153.96836853027344
2025-02-20,152.52212524414062
2025-02-21,148.96142578125
2025-02-24,149.20079040527344
2025-02-25,150.0585479736328
2025-02-26,150.74676513671875
2025-02-27,151.90374755859375
2025-02-28,154.3872528076172
2025-03-03,152.65179443359375
2025-03-04,148.96142578125
2025-03-05,152.12318420410156
2025-03-06,149.0412139892578
2025-03-07,149.3504180908203
2025-03-10,147.734619140625
2025-03-11,147.944091796875
2025-03-12,148.94146728515625
2025-03-13,148.54251098632812
2025-03-14,150.8465118408203
2025-03-17,153.03079223632812
2025-03-18,152.584228515625
2025-03-19,156.2307586669922
2025-03-20,154.98194885253906
2025-03-21,154.59231567382812
2025-03-24,157.96908569335938
2025-03-25,159.3477783203125
2025-03-26,156.98004150390625
2025-03-27,156.22076416015625
2025-03-28,153.08375549316406
2025-03-31,152.95388793945312
2025-04-01,154.06283569335938
2025-04-02,154.6322784423828
2025-04-03,147.6389617919922
2025-04-04,135.1808624267578
2025-04-07,135.67039489746094
2025-04-08,137.26885986328125
2025-04-09,149.68701171875
2025-04-10,146.93963623046875
2025-04-11,148.9676971435547
2025-04-14,150.72601318359375
2025-04-15,150.1665496826172
2025-04-16,149.5171661376953
2025-04-17,149.4072723388672
2025-04-21,146.32022094726562
2025-04-22,146.0205078125
2025-04-23,150.09661865234375
2025-04-24,152.714111328125
2025-04-25,154.5823211669922
2025-04-28,155.57138061523438
2025-04-29,156.28070068359375
2025-04-30,156.76025390625
2025-05-01,158.398681640625
2025-05-02,161.20599365234375
2025-05-05,161.09609985351562
2025-05-06,159.9771728515625
2025-05-07,160.15699768066406
2025-05-08,163.2840118408203
2025-05-09,163.1741180419922
2025-05-12,165.48191833496094
2025-05-13,166.78067016601562
2025-05-14,166.9604949951172
2025-05-15,170.50711059570312
2025-05-16,171.77590942382812
2025-05-19,173.13461303710938
2025-05-20,173.2445068359375
2025-05-21,170.6269989013672
2025-05-22,170.03756713867188
2025-05-23,170.88674926757812
2025-05-27,175.1127166748047
2025-05-28,175.33250427246094
2025-05-29,176.1417236328125
2025-05-30,177.0708465576172
2025-06-02,178.0699005126953
2025-06-03,179.1788330078125
2025-06-04,179.96807861328125
2025-06-05,180.0679931640625
2025-06-06,181.78634643554688
2025-06-09,182.46568298339844
2025-06-10,178.95904541015625
2025-06-11,180.51754760742188
2025-06-12,179.29872131347656
2025-06-13,180.04800415039062
2025-06-16,179.16000366210938
2025-06-17,179.97999572753906
2025-06-18,178.77999877929688
2025-06-20,180.44000244140625
2025-06-23,183.00999450683594
2025-06-24,181.75
2025-06-25,182.0399932861328
2025-06-26,184.5
2025-06-27,187.5500030517578
