Price,Industrial ETF
Ticker,XLI
Date,
2025-01-02,130.500732421875
2025-01-03,131.91207885742188
2025-01-06,131.62384033203125
2025-01-07,131.49464416503906
2025-01-08,132.011474609375
2025-01-10,130.53054809570312
2025-01-13,132.06117248535156
2025-01-14,133.62159729003906
2025-01-15,134.46641540527344
2025-01-16,136.096435546875
2025-01-17,136.9114532470703
2025-01-21,139.72422790527344
2025-01-22,139.396240234375
2025-01-23,140.80760192871094
2025-01-24,140.2112579345703
2025-01-27,138.33274841308594
2025-01-28,137.41835021972656
2025-01-29,136.95120239257812
2025-01-30,138.48184204101562
2025-01-31,137.5078125
2025-02-03,136.14613342285156
2025-02-04,136.18589782714844
2025-02-05,136.2852783203125
2025-02-06,136.90151977539062
2025-02-07,136.4940185546875
2025-02-10,137.71652221679688
2025-02-11,137.76622009277344
2025-02-12,136.9114532470703
2025-02-13,137.05059814453125
2025-02-14,136.71267700195312
2025-02-18,137.78610229492188
2025-02-19,137.9252471923828
2025-02-20,137.02078247070312
2025-02-21,134.0191650390625
2025-02-24,133.41287231445312
2025-02-25,134.0986785888672
2025-02-26,134.17819213867188
2025-02-27,133.71104431152344
2025-02-28,135.50010681152344
2025-03-03,133.5718994140625
2025-03-04,130.96786499023438
2025-03-05,133.0352020263672
2025-03-06,131.89219665527344
2025-03-07,133.43275451660156
2025-03-10,131.34555053710938
2025-03-11,129.32789611816406
2025-03-12,129.31796264648438
2025-03-13,127.99606323242188
2025-03-14,130.33177185058594
2025-03-17,132.13075256347656
2025-03-18,131.0771942138672
2025-03-19,132.8165283203125
2025-03-20,132.150634765625
2025-03-21,131.4449462890625
2025-03-24,133.88250732421875
2025-03-25,134.0819091796875
2025-03-26,133.19461059570312
2025-03-27,132.4867706298828
2025-03-28,129.75506591796875
2025-03-31,130.67230224609375
2025-04-01,131.4100341796875
2025-04-02,132.6462860107422
2025-04-03,125.46812438964844
2025-04-04,117.5821304321289
2025-04-07,117.03379821777344
2025-04-08,116.06674194335938
2025-04-09,126.3753662109375
2025-04-10,123.11528778076172
2025-04-11,125.2886734008789
2025-04-14,126.5947036743164
2025-04-15,125.96660614013672
2025-04-16,124.24185943603516
2025-04-17,124.9197998046875
2025-04-21,122.11831665039062
2025-04-22,124.25182342529297
2025-04-23,125.80709838867188
2025-04-24,128.62850952148438
2025-04-25,128.6185302734375
2025-04-28,129.0472412109375
2025-04-29,129.8846893310547
2025-04-30,130.82183837890625
2025-05-01,131.808837890625
2025-05-02,134.17164611816406
2025-05-05,134.24142456054688
2025-05-06,133.06500244140625
2025-05-07,133.74293518066406
2025-05-08,135.5873260498047
2025-05-09,135.69699096679688
2025-05-12,139.87428283691406
2025-05-13,140.85130310058594
2025-05-14,140.17337036132812
2025-05-15,141.7286376953125
2025-05-16,143.34371948242188
2025-05-19,143.83224487304688
2025-05-20,143.31381225585938
2025-05-21,140.8911895751953
2025-05-22,140.86126708984375
2025-05-23,140.40267944335938
2025-05-27,142.87513732910156
2025-05-28,142.1673126220703
2025-05-29,142.29690551757812
2025-05-30,142.3866424560547
2025-06-02,142.20718383789062
2025-06-03,143.30384826660156
2025-06-04,143.38360595703125
2025-06-05,143.28390502929688
2025-06-06,144.49021911621094
2025-06-09,144.36062622070312
2025-06-10,143.73252868652344
2025-06-11,143.80233764648438
2025-06-12,143.42347717285156
2025-06-13,142.21714782714844
2025-06-16,143.19418334960938
2025-06-17,142.11746215820312
2025-06-18,141.7784881591797
2025-06-20,141.93798828125
2025-06-23,143.86000061035156
2025-06-24,145.05999755859375
2025-06-25,143.77999877929688
2025-06-26,145.33999633789062
2025-06-27,146.7899932861328
