Price,Copper Futures
Ticker,HG=F
Date,
2025-01-02,3.9885001182556152
2025-01-03,4.0395002365112305
2025-01-06,4.126999855041504
2025-01-07,4.1605000495910645
2025-01-08,4.227499961853027
2025-01-09,4.2795000076293945
2025-01-10,4.274499893188477
2025-01-13,4.295499801635742
2025-01-14,4.310500144958496
2025-01-15,4.359499931335449
2025-01-16,4.4105000495910645
2025-01-17,4.337500095367432
2025-01-21,4.310999870300293
2025-01-22,4.271500110626221
2025-01-23,4.299499988555908
2025-01-24,4.289999961853027
2025-01-27,4.203499794006348
2025-01-28,4.2204999923706055
2025-01-29,4.257500171661377
2025-01-30,4.288000106811523
2025-01-31,4.26200008392334
2025-02-03,4.294000148773193
2025-02-04,4.34250020980835
2025-02-05,4.434500217437744
2025-02-06,4.453499794006348
2025-02-07,4.581500053405762
2025-02-10,4.700500011444092
2025-02-11,4.5945000648498535
2025-02-12,4.697999954223633
2025-02-13,4.769000053405762
2025-02-14,4.656499862670898
2025-02-18,4.585000038146973
2025-02-19,4.557000160217285
2025-02-20,4.607999801635742
2025-02-21,4.559999942779541
2025-02-24,4.517000198364258
2025-02-25,4.486000061035156
2025-02-26,4.541999816894531
2025-02-27,4.579999923706055
2025-02-28,4.514500141143799
2025-03-03,4.576499938964844
2025-03-04,4.527500152587891
2025-03-05,4.766499996185303
2025-03-06,4.7789998054504395
2025-03-07,4.683000087738037
2025-03-10,4.639500141143799
2025-03-11,4.739999771118164
2025-03-12,4.821000099182129
2025-03-13,4.898499965667725
2025-03-14,4.869500160217285
2025-03-17,4.933499813079834
2025-03-18,4.993000030517578
2025-03-19,5.076000213623047
2025-03-20,5.085000038146973
2025-03-21,5.087500095367432
2025-03-24,5.064000129699707
2025-03-25,5.183000087738037
2025-03-26,5.216000080108643
2025-03-27,5.097499847412109
2025-03-28,5.112500190734863
2025-03-31,5.019999980926514
2025-04-01,5.019000053405762
2025-04-02,5.023499965667725
2025-04-03,4.810999870300293
2025-04-04,4.384500026702881
2025-04-07,4.169000148773193
2025-04-08,4.127500057220459
2025-04-09,4.17549991607666
2025-04-10,4.321000099182129
2025-04-11,4.507500171661377
2025-04-14,4.610499858856201
2025-04-15,4.611000061035156
2025-04-16,4.673999786376953
2025-04-17,4.731500148773193
2025-04-21,4.7210001945495605
2025-04-22,4.870500087738037
2025-04-23,4.8354997634887695
2025-04-24,4.849999904632568
2025-04-25,4.8354997634887695
2025-04-28,4.8379998207092285
2025-04-29,4.822999954223633
2025-04-30,4.559999942779541
2025-05-01,4.580999851226807
2025-05-02,4.627500057220459
2025-05-05,4.65500020980835
2025-05-06,4.735000133514404
2025-05-07,4.616499900817871
2025-05-08,4.560999870300293
2025-05-09,4.611000061035156
2025-05-12,4.578499794006348
2025-05-13,4.68149995803833
2025-05-14,4.611000061035156
2025-05-15,4.644499778747559
2025-05-16,4.555500030517578
2025-05-19,4.633500099182129
2025-05-20,4.619500160217285
2025-05-21,4.638000011444092
2025-05-22,4.648499965667725
2025-05-23,4.80649995803833
2025-05-27,4.710000038146973
2025-05-28,4.644000053405762
2025-05-29,4.653500080108643
2025-05-30,4.652500152587891
2025-06-02,4.834499835968018
2025-06-03,4.809500217437744
2025-06-04,4.864500045776367
2025-06-05,4.91349983215332
2025-06-06,4.829999923706055
2025-06-09,4.9095001220703125
2025-06-10,4.883999824523926
2025-06-11,4.801000118255615
2025-06-12,4.821499824523926
2025-06-13,4.802999973297119
2025-06-16,4.826499938964844
2025-06-17,4.80049991607666
2025-06-18,4.84499979019165
2025-06-20,4.826000213623047
2025-06-23,4.8429999351501465
2025-06-24,4.867000102996826
2025-06-25,4.913000106811523
2025-06-26,5.065499782562256
2025-06-27,5.06850004196167
