Price,Tech Sector ETF
Ticker,XLK
Date,
2025-01-02,231.18028259277344
2025-01-03,234.94741821289062
2025-01-06,237.93719482421875
2025-01-07,233.16351318359375
2025-01-08,233.0837860107422
2025-01-10,228.0011444091797
2025-01-13,226.3866729736328
2025-01-14,226.984619140625
2025-01-15,231.49917602539062
2025-01-16,229.7152862548828
2025-01-17,233.31298828125
2025-01-21,235.25634765625
2025-01-22,240.56820678710938
2025-01-23,240.99676513671875
2025-01-24,238.48532104492188
2025-01-27,226.79527282714844
2025-01-28,232.84458923339844
2025-01-29,230.95108032226562
2025-01-30,231.3795928955078
2025-01-31,230.0242156982422
2025-02-03,226.92481994628906
2025-02-04,230.1936492919922
2025-02-05,233.39273071289062
2025-02-06,234.03054809570312
2025-02-07,232.02740478515625
2025-02-10,235.4158172607422
2025-02-11,235.5254364013672
2025-02-12,235.01718139648438
2025-02-13,238.34580993652344
2025-02-14,239.15304565429688
2025-02-18,241.33560180664062
2025-02-19,241.3555145263672
2025-02-20,240.58815002441406
2025-02-21,234.07040405273438
2025-02-24,230.7218475341797
2025-02-25,227.7320556640625
2025-02-26,230.21359252929688
2025-02-27,221.83221435546875
2025-02-28,224.76220703125
2025-03-03,217.92556762695312
2025-03-04,217.75613403320312
2025-03-05,220.81570434570312
2025-03-06,214.68661499023438
2025-03-07,217.79600524902344
2025-03-10,208.53762817382812
2025-03-11,207.6905059814453
2025-03-12,210.9593505859375
2025-03-13,206.95303344726562
2025-03-14,213.211669921875
2025-03-17,214.6965789794922
2025-03-18,211.42774963378906
2025-03-19,214.17837524414062
2025-03-20,212.653564453125
2025-03-21,213.23159790039062
2025-03-24,217.26991271972656
2025-03-25,217.9887237548828
2025-03-26,213.12677001953125
2025-03-27,211.16001892089844
2025-03-28,206.0385284423828
2025-03-31,206.1383514404297
2025-04-01,207.64585876464844
2025-04-02,209.1833038330078
2025-04-03,194.90696716308594
2025-04-04,182.0682373046875
2025-04-07,183.1564483642578
2025-04-08,179.4326171875
2025-04-09,203.52268981933594
2025-04-10,194.0483856201172
2025-04-11,198.0218048095703
2025-04-14,199.8288116455078
2025-04-15,200.55760192871094
2025-04-16,193.5891571044922
2025-04-17,192.5408935546875
2025-04-21,187.5691375732422
2025-04-22,192.1415557861328
2025-04-23,197.71231079101562
2025-04-24,205.090087890625
2025-04-25,208.12506103515625
2025-04-28,207.78562927246094
2025-04-29,208.7540283203125
2025-04-30,209.62257385253906
2025-05-01,212.69747924804688
2025-05-02,216.2515869140625
2025-05-05,215.10350036621094
2025-05-06,213.3164520263672
2025-05-07,215.45291137695312
2025-05-08,217.50950622558594
2025-05-09,217.23995971679688
2025-05-12,227.3232421875
2025-05-13,232.23509216308594
2025-05-14,233.74261474609375
2025-05-15,234.06207275390625
2025-05-16,234.5013427734375
2025-05-19,234.1619110107422
2025-05-20,233.28335571289062
2025-05-21,228.90061950683594
2025-05-22,228.9605255126953
2025-05-23,226.43470764160156
2025-05-27,231.8157958984375
2025-05-28,230.85739135742188
2025-05-29,231.2467498779297
2025-05-30,230.52793884277344
2025-06-02,232.56454467773438
2025-06-03,236.0587615966797
2025-06-04,236.40818786621094
2025-06-05,235.7393035888672
2025-06-06,237.96560668945312
2025-06-09,239.1336669921875
2025-06-10,240.47145080566406
2025-06-11,239.94232177734375
2025-06-12,242.16864013671875
2025-06-13,238.77426147460938
2025-06-16,242.63784790039062
2025-06-17,240.92071533203125
2025-06-18,241.21022033691406
2025-06-20,240.14198303222656
2025-06-23,242.8800048828125
2025-06-24,247.24000549316406
2025-06-25,249.35000610351562
2025-06-26,251.07000732421875
2025-06-27,250.77000427246094
