Price,Consumer Discretionary ETF
Ticker,XLY
Date,
2025-01-02,220.3238067626953
2025-01-03,224.7820281982422
2025-01-06,225.66770935058594
2025-01-07,221.29905700683594
2025-01-08,221.9259796142578
2025-01-10,219.74664306640625
2025-01-13,220.99057006835938
2025-01-14,220.56263732910156
2025-01-15,226.17523193359375
2025-01-16,224.9512176513672
2025-01-17,228.10580444335938
2025-01-21,229.77761840820312
2025-01-22,228.911865234375
2025-01-23,230.29510498046875
2025-01-24,228.89195251464844
2025-01-27,230.1956024169922
2025-01-28,230.47422790527344
2025-01-29,229.81744384765625
2025-01-30,232.0664520263672
2025-01-31,231.0414581298828
2025-02-03,227.98638916015625
2025-02-04,230.67324829101562
2025-02-05,228.05604553222656
2025-02-06,228.9616241455078
2025-02-07,224.48348999023438
2025-02-10,225.249755859375
2025-02-11,222.69224548339844
2025-02-12,222.65243530273438
2025-02-13,225.99610900878906
2025-02-14,225.89659118652344
2025-02-18,225.26963806152344
2025-02-19,225.14028930664062
2025-02-20,223.1997528076172
2025-02-21,217.3284454345703
2025-02-24,216.51243591308594
2025-02-25,215.37796020507812
2025-02-26,214.49229431152344
2025-02-27,211.39739990234375
2025-02-28,214.91026306152344
2025-03-03,210.94960021972656
2025-03-04,207.227783203125
2025-03-05,210.3823699951172
2025-03-06,205.04843139648438
2025-03-07,204.67027282714844
2025-03-10,197.365966796875
2025-03-11,195.43539428710938
2025-03-12,196.56982421875
2025-03-13,191.66380310058594
2025-03-14,195.74388122558594
2025-03-17,196.0523681640625
2025-03-18,192.55941772460938
2025-03-19,196.25140380859375
2025-03-20,195.78369140625
2025-03-21,196.490234375
2025-03-24,203.85655212402344
2025-03-25,205.48309326171875
2025-03-26,202.79881286621094
2025-03-27,202.92852783203125
2025-03-28,196.62193298339844
2025-03-31,197.0410614013672
2025-04-01,199.0966796875
2025-04-02,202.87863159179688
2025-04-03,190.62469482421875
2025-04-04,182.4021759033203
2025-04-07,180.24676513671875
2025-04-08,175.96585083007812
2025-04-09,195.1251220703125
2025-04-10,187.50132751464844
2025-04-11,189.31747436523438
2025-04-14,189.86631774902344
2025-04-15,188.49920654296875
2025-04-16,183.84910583496094
2025-04-17,185.0066375732422
2025-04-21,180.067138671875
2025-04-22,185.76502990722656
2025-04-23,189.9162139892578
2025-04-24,193.6981658935547
2025-04-25,197.18075561523438
2025-04-28,197.2506103515625
2025-04-29,198.64764404296875
2025-04-30,196.8414764404297
2025-05-01,197.92916870117188
2025-05-02,201.00262451171875
2025-05-05,198.86715698242188
2025-05-06,197.130859375
2025-05-07,198.66758728027344
2025-05-08,201.01260375976562
2025-05-09,201.98056030273438
2025-05-12,212.0192108154297
2025-05-13,214.8232421875
2025-05-14,215.6514892578125
2025-05-15,215.17250061035156
2025-05-16,217.2081756591797
2025-05-19,216.6992645263672
2025-05-20,215.5716552734375
2025-05-21,211.20094299316406
2025-05-22,212.1090087890625
2025-05-23,210.20306396484375
2025-05-27,216.4098663330078
2025-05-28,214.42410278320312
2025-05-29,214.51390075683594
2025-05-30,213.3463897705078
2025-06-02,213.84532165527344
2025-06-03,214.98291015625
2025-06-04,214.4141082763672
2025-06-05,209.005615234375
2025-06-06,211.71983337402344
2025-06-09,213.41622924804688
2025-06-10,215.97079467773438
2025-06-11,214.26443481445312
2025-06-12,213.25657653808594
2025-06-13,211.29075622558594
2025-06-16,213.56591796875
2025-06-17,209.8837432861328
2025-06-18,209.9835205078125
2025-06-20,210.23300170898438
2025-06-23,214.39999389648438
2025-06-24,215.58999633789062
2025-06-25,213.0500030517578
2025-06-26,215.00999450683594
2025-06-27,218.58999633789062
