model,horizon,rmse,mae,mape
<lambda>,1,0.9735750806763329,0.7584420635758838,2.029152423884805
<lambda>,3,1.268494437807126,1.0323835093309224,2.744145597919868
<lambda>,7,1.629747460789755,1.3012451304766424,3.3907632296364163
