model,horizon,rmse,mae,mape
<lambda>,1,9.79648674922174,7.126033040021743,3.109576434229496
<lambda>,3,12.692665753883162,8.960804184738246,3.8734281272767324
<lambda>,7,16.064801115345432,12.36559538710763,5.348136034433349
