model,seasonal,horizon,rmse,mae,mape
"ARIMA(0, 1, 2)",False,1,6.6627223291468685,5.136682549880599,2.283789759691578
"ARIMA(0, 1, 2)",False,3,10.219683735535327,7.545057447545956,3.2950359972066607
"ARIMA(0, 1, 2)",False,7,16.194451027892555,12.147916265052778,5.245848918343651
"SARIMA(0, 1, 0)",True,1,6.458838762835144,4.995833079020179,2.2180838680318944
"SARIMA(0, 1, 0)",True,3,10.051751043406336,7.131551808324351,3.106839007792662
"SARIMA(0, 1, 0)",True,7,15.939148165661434,11.911297833478008,5.12855209813162
