model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 2)",1,0.6880707843256345,0.4937860406326257,1.3208372933369632,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
"SARIMAX(0, 1, 2)",3,1.1991323192159475,0.9786049484957025,2.598092440296259,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
"SARIMAX(0, 1, 2)",7,1.5623845148772009,1.2464361731509712,3.205788331458434,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
"SARIMAX(1, 1, 1)",1,0.7002778951766315,0.5161693296746376,1.3802143156584816,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
"SARIMAX(1, 1, 1)",3,1.1943992451453442,0.9901422238659859,2.6233663988938813,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
"SARIMAX(1, 1, 1)",7,1.5554933348281628,1.2303576233071736,3.1574880294331904,"DX-Y.NYB_lag5,CL=F_lag1,HG=F_lag1"
