model,horizon,rmse,mae,mape
<lambda>,1,4.2098506015920325,3.3547782410240563,2.862840500624817
<lambda>,3,4.49972528299074,3.6889730110729997,3.159908149285725
<lambda>,7,4.873892627273346,3.502399570509228,2.968813212635162
