model,exo_var,horizon,rmse,mae,mape,category
best_model_fn,SLX,1,7.515253724194315,6.228490123352625,3.0132941477916733,commodities
best_model_fn,SLX,3,9.667398251129956,8.158429232663831,3.9567176594419857,commodities
best_model_fn,SLX,7,12.551536582763708,11.29501094441845,5.453993754021851,commodities
best_model_fn,CL=F,1,9.90768452433958,7.988929782583931,3.863873130708921,commodities
best_model_fn,CL=F,3,9.044622033624488,7.29675572355386,3.5137324951202324,commodities
best_model_fn,CL=F,7,10.672250325721633,9.594071224027893,4.627657681403647,commodities
best_model_fn,ITA,1,8.19340746397343,6.558546240210901,3.201565780313952,sectoral
best_model_fn,ITA,3,8.54948814429081,6.915111626669907,3.3794804210412024,sectoral
best_model_fn,ITA,7,11.565254079784289,10.180411437191127,4.955192120772968,sectoral
best_model_fn,^VIX,1,9.353079711887636,8.05408649164829,3.878235103989663,macro
best_model_fn,^VIX,3,11.801787739575992,10.09499451594416,4.877503329306356,macro
best_model_fn,^VIX,7,12.203011786211096,11.00347968611008,5.303532995396002,macro
best_model_fn,^TNX,1,9.235708074148285,8.136771674250062,3.921551207883569,macro
best_model_fn,^TNX,3,11.018717795289849,9.195425214598798,4.4156869821176805,macro
best_model_fn,^TNX,7,11.717312137517574,10.055534031420237,4.846981224525391,macro
best_model_fn,DX-Y.NYB,1,7.161933443328545,5.599360168096026,2.7324168817780303,commodities
best_model_fn,DX-Y.NYB,3,7.9463775375922845,6.74961368460619,3.285210306287717,commodities
best_model_fn,DX-Y.NYB,7,10.969428190005347,9.876049134873064,4.79943401894549,commodities
best_model_fn,JETS,1,7.337928739531665,5.8954527365872345,2.845133120367872,sectoral
best_model_fn,JETS,3,9.069741463042176,7.541655169797934,3.648557401119089,sectoral
best_model_fn,JETS,7,11.844439113615506,10.633446533184168,5.144009265091498,sectoral
best_model_fn,XLI,1,8.514894818943672,7.115032126341032,3.4285798532352736,sectoral
best_model_fn,XLI,3,10.106868788461847,8.762032378651739,4.234095821686126,sectoral
best_model_fn,XLI,7,12.10411757908788,10.741364128865351,5.171704850471967,sectoral
best_model_fn,IYT,1,7.932415023479657,6.62901190749534,3.2053926423064776,sectoral
best_model_fn,IYT,3,10.510129323918823,8.847913062015394,4.288574038061883,sectoral
best_model_fn,IYT,7,12.1896665629654,10.766468504396148,5.209473376208439,sectoral
