model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",1,7.1702045166729995,5.364539834955798,2.342007207094961,"^VIX_lag4,^TNX_lag9,DX-Y.NYB_lag16,JETS_lag12,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",3,12.47335798829266,8.870711889375084,3.808309904063066,"^VIX_lag4,^TNX_lag9,DX-Y.NYB_lag16,JETS_lag12,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",7,19.533180600819044,15.30467765227231,6.451628560445331,"^VIX_lag4,^TNX_lag9,DX-Y.NYB_lag16,JETS_lag12,XLI_lag1,IYT_lag2"
