model,horizon,rmse,mae,mape
<lambda>,1,5.564533080828863,4.6572160545995365,4.031032276297717
<lambda>,3,4.334496891253378,3.4451795584319966,2.949413246935835
<lambda>,7,5.862962531320984,4.4716032540391835,3.803237697273263
