model,horizon,rmse,mae,mape
create_lstm_relu_dropout_model,1,14.049910190168703,12.228343923694949,5.8577734364259495
create_lstm_relu_dropout_model,3,15.588397537233288,13.114518577710555,6.324403322534741
create_lstm_relu_dropout_model,7,15.046522446348979,12.53128675159233,5.999978255326526
