model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",1,6.505633487555262,5.574007890352096,2.4424630037397024,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",3,11.64799814630262,8.72668610755194,3.7605923785902906,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
"SARIMAX(0, 1, 0) + Season(0, 0, 0, 30)",7,17.489004131641778,14.453146522591997,6.041510311249623,"^VIX_lag3,^TNX_lag9,DX-Y.NYB_lag5,JETS_lag6,XLI_lag1,IYT_lag2"
