Price,Tech Sector ETF
Ticker,XLK
Date,
2020-01-02,88.94721984863281
2020-01-03,87.94715881347656
2020-01-06,88.15669250488281
2020-01-07,88.11858367919922
2020-01-08,89.0615234375
2020-01-09,90.0710678100586
2020-01-10,89.86154174804688
2020-01-13,90.98541259765625
2020-01-14,90.55681610107422
2020-01-15,90.66158294677734
2020-01-16,91.88069152832031
2020-01-17,92.49976348876953
2020-01-21,92.461669921875
2020-01-22,92.79502868652344
2020-01-23,93.23313903808594
2020-01-24,92.79502868652344
2020-01-27,90.58538055419922
2020-01-28,92.31880950927734
2020-01-29,92.55691528320312
2020-01-30,93.35697174072266
2020-01-31,90.79492950439453
2020-02-03,91.99497985839844
2020-02-04,94.40462493896484
2020-02-05,94.95702362060547
2020-02-06,95.82373809814453
2020-02-07,94.94754028320312
2020-02-10,96.2332763671875
2020-02-11,95.90945434570312
2020-02-12,96.9476089477539
2020-02-13,96.69046020507812
2020-02-14,97.1095199584961
2020-02-18,96.74760437011719
2020-02-19,97.9000473022461
2020-02-20,96.88093566894531
2020-02-21,94.70942687988281
2020-02-24,90.79492950439453
2020-02-25,87.89000701904297
2020-02-26,88.2900390625
2020-02-27,83.52790069580078
2020-02-28,84.16602325439453
2020-03-02,89.03294372558594
2020-03-03,85.65180206298828
2020-03-04,89.32819366455078
2020-03-05,86.50898742675781
2020-03-06,84.68034362792969
2020-03-09,78.25145721435547
2020-03-10,83.47074127197266
2020-03-11,79.52772521972656
2020-03-12,71.76543426513672
2020-03-13,80.18487548828125
2020-03-16,69.108154296875
2020-03-17,73.8131332397461
2020-03-18,71.03204345703125
2020-03-19,71.2892074584961
2020-03-20,68.02236938476562
2020-03-23,67.40103912353516
2020-03-24,74.30390930175781
2020-03-25,74.20816040039062
2020-03-26,78.80368041992188
2020-03-27,75.24213409423828
2020-03-30,78.41114044189453
2020-03-31,76.9462890625
2020-04-01,73.27946472167969
2020-04-02,74.99322509765625
2020-04-03,73.83476257324219
2020-04-06,80.13446044921875
2020-04-07,79.41641998291016
2020-04-08,81.55142211914062
2020-04-09,81.570556640625
2020-04-13,81.7524642944336
2020-04-14,85.17996215820312
2020-04-15,83.3226089477539
2020-04-16,84.33745574951172
2020-04-17,85.45760345458984
2020-04-20,84.08851623535156
2020-04-21,80.56529998779297
2020-04-22,83.66726684570312
2020-04-23,83.09284210205078
2020-04-24,84.85443115234375
2020-04-27,85.5820541381836
2020-04-28,84.4427490234375
2020-04-29,87.90856170654297
2020-04-30,87.51600646972656
2020-05-01,85.11294555664062
2020-05-04,86.24268341064453
2020-05-05,87.42984008789062
2020-05-06,88.109619140625
2020-05-07,89.43081665039062
2020-05-08,90.74244689941406
2020-05-11,91.34562683105469
2020-05-12,89.45954895019531
2020-05-13,87.91814422607422
2020-05-14,89.03828430175781
2020-05-15,89.48829650878906
2020-05-18,91.68070220947266
2020-05-19,91.34562683105469
2020-05-20,93.3465805053711
2020-05-21,92.04451751708984
2020-05-22,92.3796157836914
2020-05-26,92.28388214111328
2020-05-27,92.81045532226562
2020-05-28,92.6285400390625
2020-05-29,93.79656219482422
2020-06-01,93.76785278320312
2020-06-02,94.64867401123047
2020-06-03,95.38583374023438
2020-06-04,94.60079193115234
2020-06-05,97.09003448486328
2020-06-08,97.57830047607422
2020-06-09,98.03785705566406
2020-06-10,99.67501068115234
2020-06-11,93.95933532714844
2020-06-12,95.17523956298828
2020-06-15,96.09432983398438
2020-06-16,98.1431884765625
2020-06-17,98.12400817871094
2020-06-18,98.56441497802734
2020-06-19,97.88468170166016
2020-06-22,99.72891235351562
2020-06-23,100.44894409179688
2020-06-24,98.18323516845703
2020-06-25,99.44088745117188
2020-06-26,97.48241424560547
2020-06-29,98.54804992675781
2020-06-30,100.31452941894531
2020-07-01,100.47774505615234
2020-07-02,101.06333923339844
2020-07-06,102.82982635498047
2020-07-07,101.75458526611328
2020-07-08,103.41545867919922
2020-07-09,103.78986358642578
2020-07-10,103.76105499267578
2020-07-13,101.61056518554688
2020-07-14,102.78182220458984
2020-07-15,103.33865356445312
2020-07-16,102.0617904663086
2020-07-17,102.56101989746094
2020-07-20,105.18192291259766
2020-07-21,104.12589263916016
2020-07-22,104.96112060546875
2020-07-23,102.2345962524414
2020-07-24,100.99614715576172
2020-07-27,102.58981323242188
2020-07-28,101.3897705078125
2020-07-29,102.8586196899414
2020-07-30,103.4346694946289
2020-07-31,106.01718139648438
2020-08-03,108.62847900390625
2020-08-04,108.9068832397461
2020-08-05,109.31008911132812
2020-08-06,110.8461685180664
2020-08-07,109.19490051269531
2020-08-10,108.88768768310547
2020-08-11,106.92920684814453
2020-08-12,109.3581314086914
2020-08-13,109.4061050415039
2020-08-14,109.32931518554688
2020-08-17,110.05892944335938
2020-08-18,110.47175598144531
2020-08-19,110.33733367919922
2020-08-20,111.80621337890625
2020-08-21,113.22705841064453
2020-08-24,114.20631408691406
2020-08-25,114.7823257446289
2020-08-26,117.11521911621094
2020-08-27,117.21121215820312
2020-08-28,118.23846435546875
2020-08-31,118.6128921508789
2020-09-01,120.87858581542969
2020-09-02,121.9538345336914
2020-09-03,115.00313568115234
2020-09-04,113.39987182617188
2020-09-08,108.27325439453125
2020-09-09,111.80621337890625
2020-09-10,109.28129577636719
2020-09-11,108.44606018066406
2020-09-14,110.72136688232422
2020-09-15,111.81580352783203
2020-09-16,110.08773040771484
2020-09-17,109.17569732666016
