Price,Industrial ETF
Ticker,XLI
Date,
2020-01-02,75.9322280883789
2020-01-03,75.785888671875
2020-01-06,75.81331634521484
2020-01-07,75.65782165527344
2020-01-08,75.9139404296875
2020-01-09,76.23410034179688
2020-01-10,75.69439697265625
2020-01-13,76.3164291381836
2020-01-14,76.32559204101562
2020-01-15,76.4444808959961
2020-01-16,77.20372772216797
2020-01-17,77.21287536621094
2020-01-21,76.36217498779297
2020-01-22,75.9596939086914
2020-01-23,76.7829360961914
2020-01-24,76.42620086669922
2020-01-27,74.98091125488281
2020-01-28,75.4656982421875
2020-01-29,75.86821746826172
2020-01-30,75.95052337646484
2020-01-31,74.1942367553711
2020-02-03,74.16681671142578
2020-02-04,75.56635284423828
2020-02-05,76.82867431640625
2020-02-06,77.07566833496094
2020-02-07,76.51766967773438
2020-02-10,76.9476089477539
2020-02-11,77.24031066894531
2020-02-12,77.96295928955078
2020-02-13,77.52387237548828
2020-02-14,77.42325592041016
2020-02-18,76.98419952392578
2020-02-19,76.95674896240234
2020-02-20,76.84698486328125
2020-02-21,76.46277618408203
2020-02-24,74.28571319580078
2020-02-25,71.2579574584961
2020-02-26,70.7182388305664
2020-02-27,68.09294891357422
2020-02-28,66.84893035888672
2020-03-02,69.19977569580078
2020-03-03,67.50752258300781
2020-03-04,70.29745483398438
2020-03-05,66.8580551147461
2020-03-06,66.27262115478516
2020-03-09,60.16218566894531
2020-03-10,63.28144073486328
2020-03-11,59.56761932373047
2020-03-12,53.40229034423828
2020-03-13,57.573490142822266
2020-03-16,51.04227066040039
2020-03-17,53.393150329589844
2020-03-18,49.459774017333984
2020-03-19,49.49637222290039
2020-03-20,47.01742935180664
2020-03-23,44.95805358886719
2020-03-24,50.64577865600586
2020-03-25,53.309898376464844
2020-03-26,56.67461013793945
2020-03-27,54.287044525146484
2020-03-30,55.07982635498047
2020-03-31,54.397666931152344
2020-04-01,51.94557571411133
2020-04-02,52.63695526123047
2020-04-03,51.936363220214844
2020-04-06,55.53152847290039
2020-04-07,55.402469635009766
2020-04-08,57.412078857421875
2020-04-09,58.278602600097656
2020-04-13,56.57320785522461
2020-04-14,57.651756286621094
2020-04-15,56.05698776245117
2020-04-16,55.55918884277344
2020-04-17,58.16798782348633
2020-04-20,56.61928939819336
2020-04-21,55.282630920410156
2020-04-22,55.8633918762207
2020-04-23,56.305877685546875
2020-04-24,56.7575798034668
2020-04-27,58.16798782348633
2020-04-28,59.25575637817383
2020-04-29,60.38961410522461
2020-04-30,59.191226959228516
2020-05-01,57.40285110473633
2020-05-04,56.67461013793945
2020-05-05,56.89584732055664
2020-05-06,56.112281799316406
2020-05-07,56.76679611206055
2020-05-08,58.177207946777344
2020-05-11,57.44895553588867
2020-05-12,55.83573532104492
2020-05-13,54.43454360961914
2020-05-14,55.00608825683594
2020-05-15,54.81248474121094
2020-05-18,58.42610549926758
2020-05-19,57.67940902709961
2020-05-20,58.757965087890625
2020-05-21,58.89624786376953
2020-05-22,58.85014724731445
2020-05-26,61.32066345214844
2020-05-27,63.36716079711914
2020-05-28,62.767948150634766
2020-05-29,62.38078689575195
2020-06-01,62.519073486328125
2020-06-02,63.33029556274414
2020-06-03,65.80081939697266
2020-06-04,66.50141906738281
2020-06-05,68.94425964355469
2020-06-08,70.32701873779297
2020-06-09,68.57554626464844
2020-06-10,66.93465423583984
2020-06-11,62.23330307006836
2020-06-12,63.44089889526367
2020-06-15,64.06773376464844
2020-06-16,65.32144927978516
2020-06-17,64.851318359375
2020-06-18,64.61164093017578
2020-06-19,63.8188591003418
2020-06-22,63.92625427246094
2020-06-23,63.93553161621094
2020-06-24,61.71329116821289
2020-06-25,62.39847183227539
2020-06-26,61.241065979003906
2020-06-29,63.25033187866211
2020-06-30,63.6114501953125
2020-07-01,63.32440185546875
2020-07-02,63.870689392089844
2020-07-06,64.7873764038086
2020-07-07,63.54661178588867
2020-07-08,63.54661178588867
2020-07-09,62.1669921875
2020-07-10,62.97254180908203
2020-07-13,63.2318115234375
2020-07-14,64.60218811035156
2020-07-15,66.2503433227539
2020-07-16,66.26885986328125
2020-07-17,66.6670150756836
2020-07-20,65.85221099853516
2020-07-21,66.72256469726562
2020-07-22,67.25960540771484
2020-07-23,67.05590057373047
2020-07-24,66.51887512207031
2020-07-27,66.79666900634766
2020-07-28,66.33367919921875
2020-07-29,67.34294891357422
2020-07-30,66.6670150756836
2020-07-31,66.41702270507812
2020-08-03,66.69478607177734
2020-08-04,66.86146545410156
2020-08-05,68.13924407958984
2020-08-06,68.39851379394531
2020-08-07,69.56517028808594
2020-08-10,71.2781753540039
2020-08-11,71.65779113769531
2020-08-12,71.88927459716797
2020-08-13,71.50963592529297
2020-08-14,71.78741455078125
2020-08-17,71.4540786743164
2020-08-18,71.06519317626953
2020-08-19,70.88001251220703
2020-08-20,70.50035858154297
2020-08-21,70.78740692138672
2020-08-24,72.06520080566406
2020-08-25,71.97260284423828
2020-08-26,72.00963592529297
2020-08-27,72.26890563964844
2020-08-28,72.95408630371094
2020-08-31,72.04667663574219
2020-09-01,72.77816009521484
2020-09-02,73.98188018798828
2020-09-03,71.90779113769531
2020-09-04,72.07445526123047
2020-09-08,70.72257995605469
2020-09-09,71.81519317626953
2020-09-10,70.89851379394531
2020-09-11,71.86149597167969
2020-09-14,72.83370971679688
2020-09-15,72.8800277709961
2020-09-16,73.62075805664062
2020-09-17,73.7688980102539
2020-09-18,72.94482421875
2020-09-21,70.52339935302734
2020-09-22,71.2205581665039
2020-09-23,69.94710540771484
2020-09-24,70.0493392944336
2020-09-25,71.09969329833984
2020-09-28,72.38246154785156
2020-09-29,71.74109649658203
2020-09-30,71.55516815185547
2020-10-01,71.3414077758789
2020-10-02,72.14078521728516
2020-10-05,73.30270385742188
2020-10-06,72.41036224365234
2020-10-07,74.00916290283203
2020-10-08,74.74349212646484
2020-10-09,75.02232360839844
2020-10-12,75.4499282836914
2020-10-13,74.61334991455078
2020-10-14,75.0316162109375
2020-10-15,75.30118560791016
2020-10-16,75.849609375
2020-10-19,74.91078186035156
2020-10-20,75.30118560791016
2020-10-21,74.53897857666016
2020-10-22,75.15245819091797
2020-10-23,75.4499282836914
2020-10-26,73.5629653930664
2020-10-27,71.95488739013672
2020-10-28,69.59387969970703
2020-10-29,70.60706329345703
2020-10-30,70.52339935302734
2020-11-02,72.4289321899414
2020-11-03,74.56685638427734
2020-11-04,73.79536437988281
2020-11-05,75.53358459472656
2020-11-06,75.6079330444336
2020-11-09,78.18274688720703
2020-11-10,79.55843353271484
2020-11-11,78.88916778564453
2020-11-12,77.98751831054688
2020-11-13,79.71644592285156
2020-11-16,81.6591567993164
2020-11-17,81.44539642333984
2020-11-18,81.08287048339844
2020-11-19,81.28733825683594
2020-11-20,80.55304718017578
2020-11-23,81.9008560180664
2020-11-24,83.33232879638672
2020-11-25,82.70023345947266
2020-11-27,82.56082153320312
2020-11-30,81.82648468017578
2020-12-01,81.62197875976562
2020-12-02,81.73355102539062
2020-12-03,81.94731903076172
2020-12-04,82.92332458496094
2020-12-07,82.52364349365234
2020-12-08,82.92332458496094
2020-12-09,83.10924530029297
2020-12-10,82.31912231445312
2020-12-11,82.51434326171875
2020-12-14,81.44539642333984
2020-12-15,82.57939910888672
2020-12-16,82.06816864013672
2020-12-17,82.57009887695312
2020-12-18,82.57939910888672
2020-12-21,82.08097076416016
2020-12-22,81.69830322265625
2020-12-23,82.12764739990234
2020-12-24,82.1369857788086
2020-12-28,82.23965454101562
2020-12-29,81.7449722290039
2020-12-30,82.26764678955078
2020-12-31,82.65035247802734
2021-01-04,80.65291595458984
2021-01-05,81.4462890625
2021-01-06,83.38768768310547
2021-01-07,83.84505462646484
2021-01-08,83.63973999023438
2021-01-11,83.61170959472656
2021-01-12,84.44242858886719
2021-01-13,83.71436309814453
2021-01-14,84.00374603271484
2021-01-15,82.91168975830078
2021-01-19,83.18236541748047
2021-01-20,83.69571685791016
2021-01-21,83.0423583984375
2021-01-22,82.6130142211914
2021-01-25,82.05298614501953
2021-01-26,81.29692840576172
2021-01-27,79.68220520019531
2021-01-28,80.86760711669922
2021-01-29,79.12216186523438
2021-02-01,79.94355773925781
2021-02-02,81.64228820800781
2021-02-03,81.69830322265625
2021-02-04,82.57567596435547
2021-02-05,83.06101989746094
2021-02-08,83.77037811279297
2021-02-09,83.98507690429688
2021-02-10,83.85438537597656
2021-02-11,83.67705535888672
2021-02-12,84.28374481201172
2021-02-16,84.19973754882812
2021-02-17,83.96640014648438
2021-02-18,83.54637908935547
2021-02-19,84.91844177246094
2021-02-22,85.1891098022461
2021-02-23,85.45046997070312
2021-02-24,87.06521606445312
2021-02-25,85.45980072021484
2021-02-26,84.57308959960938
2021-03-01,86.73851776123047
2021-03-02,86.48651123046875
2021-03-03,86.5798568725586
2021-03-04,85.19845581054688
2021-03-05,87.21455383300781
2021-03-08,88.12924194335938
2021-03-09,87.76522827148438
2021-03-10,89.06261444091797
2021-03-11,89.12796020507812
2021-03-12,90.32266235351562
2021-03-15,91.07872772216797
2021-03-16,89.78132629394531
2021-03-17,90.81736755371094
2021-03-18,90.73336791992188
2021-03-19,90.04267120361328
2021-03-22,89.99210357666016
2021-03-23,88.41920471191406
2021-03-24,89.06521606445312
2021-03-25,90.48834228515625
2021-03-26,92.05186462402344
2021-03-29,92.07059478759766
2021-03-30,92.47315979003906
