Price,Airline ETF
Ticker,JETS
Date,
2025-01-02,25.100000381469727
2025-01-03,25.1299991607666
2025-01-06,25.579999923706055
2025-01-07,25.770000457763672
2025-01-08,25.770000457763672
2025-01-10,26.219999313354492
2025-01-13,25.6299991607666
2025-01-14,26.149999618530273
2025-01-15,26.030000686645508
2025-01-16,26.010000228881836
2025-01-17,26.190000534057617
2025-01-21,26.809999465942383
2025-01-22,26.479999542236328
2025-01-23,26.270000457763672
2025-01-24,26.25
2025-01-27,26.479999542236328
2025-01-28,26.020000457763672
2025-01-29,26.18000030517578
2025-01-30,26.3700008392334
2025-01-31,26.030000686645508
2025-02-03,25.65999984741211
2025-02-04,26.06999969482422
2025-02-05,25.8799991607666
2025-02-06,26.020000457763672
2025-02-07,26.420000076293945
2025-02-10,26.100000381469727
2025-02-11,25.700000762939453
2025-02-12,25.850000381469727
2025-02-13,25.469999313354492
2025-02-14,25.809999465942383
2025-02-18,25.920000076293945
2025-02-19,25.860000610351562
2025-02-20,25.670000076293945
2025-02-21,24.649999618530273
2025-02-24,24.889999389648438
2025-02-25,24.690000534057617
2025-02-26,24.780000686645508
2025-02-27,24.239999771118164
2025-02-28,24.440000534057617
2025-03-03,23.93000030517578
2025-03-04,23.1200008392334
2025-03-05,23.969999313354492
2025-03-06,23.260000228881836
2025-03-07,23.030000686645508
2025-03-10,21.950000762939453
2025-03-11,21.579999923706055
2025-03-12,21.190000534057617
2025-03-13,21.0
2025-03-14,21.649999618530273
2025-03-17,22.049999237060547
2025-03-18,21.649999618530273
2025-03-19,22.239999771118164
2025-03-20,22.010000228881836
2025-03-21,21.979999542236328
2025-03-24,22.719999313354492
2025-03-25,22.489999771118164
2025-03-26,22.31999969482422
2025-03-27,21.790000915527344
2025-03-28,21.1299991607666
2025-03-31,20.770000457763672
2025-04-01,20.440000534057617
2025-04-02,20.940000534057617
2025-04-03,19.1200008392334
2025-04-04,18.059999465942383
2025-04-07,18.020000457763672
2025-04-08,17.3700008392334
2025-04-09,20.360000610351562
2025-04-10,18.59000015258789
2025-04-11,19.09000015258789
2025-04-14,18.8700008392334
2025-04-15,19.059999465942383
2025-04-16,18.84000015258789
2025-04-17,18.8799991607666
2025-04-21,18.399999618530273
2025-04-22,18.829999923706055
2025-04-23,19.209999084472656
2025-04-24,19.559999465942383
2025-04-25,19.510000228881836
2025-04-28,19.700000762939453
2025-04-29,19.75
2025-04-30,19.81999969482422
2025-05-01,19.940000534057617
2025-05-02,20.8799991607666
2025-05-05,21.040000915527344
2025-05-06,20.809999465942383
2025-05-07,21.1200008392334
2025-05-08,21.81999969482422
2025-05-09,21.84000015258789
2025-05-12,22.549999237060547
2025-05-13,23.110000610351562
2025-05-14,22.6200008392334
2025-05-15,22.5
2025-05-16,22.739999771118164
2025-05-19,22.770000457763672
2025-05-20,22.56999969482422
2025-05-21,21.8799991607666
2025-05-22,22.100000381469727
2025-05-23,21.920000076293945
2025-05-27,22.780000686645508
2025-05-28,22.649999618530273
2025-05-29,22.739999771118164
2025-05-30,22.719999313354492
2025-06-02,22.809999465942383
2025-06-03,22.84000015258789
2025-06-04,22.780000686645508
2025-06-05,22.59000015258789
2025-06-06,23.25
2025-06-09,23.31999969482422
2025-06-10,23.440000534057617
2025-06-11,22.670000076293945
2025-06-12,22.420000076293945
2025-06-13,21.639999389648438
2025-06-16,22.34000015258789
2025-06-17,21.65999984741211
2025-06-18,21.6299991607666
2025-06-20,21.56999969482422
2025-06-23,21.989999771118164
2025-06-24,22.65999984741211
2025-06-25,22.299999237060547
2025-06-26,22.6299991607666
2025-06-27,22.90999984741211
