Price,Steel ETF
Ticker,SLX
Date,
2025-01-02,58.119998931884766
2025-01-03,57.79999923706055
2025-01-06,58.77000045776367
2025-01-07,58.619998931884766
2025-01-08,57.93000030517578
2025-01-10,57.59000015258789
2025-01-13,59.04999923706055
2025-01-14,59.599998474121094
2025-01-15,60.540000915527344
2025-01-16,60.369998931884766
2025-01-17,60.709999084472656
2025-01-21,61.470001220703125
2025-01-22,60.38999938964844
2025-01-23,60.90999984741211
2025-01-24,61.41999816894531
2025-01-27,61.0099983215332
2025-01-28,61.13999938964844
2025-01-29,61.560001373291016
2025-01-30,61.849998474121094
2025-01-31,60.90999984741211
2025-02-03,60.400001525878906
2025-02-04,61.470001220703125
2025-02-05,61.86000061035156
2025-02-06,62.61000061035156
2025-02-07,61.34000015258789
2025-02-10,63.41999816894531
2025-02-11,62.90999984741211
2025-02-12,62.209999084472656
2025-02-13,62.97999954223633
2025-02-14,63.31999969482422
2025-02-18,64.63999938964844
2025-02-19,63.97999954223633
2025-02-20,64.12999725341797
2025-02-21,62.81999969482422
2025-02-24,63.02000045776367
2025-02-25,62.70000076293945
2025-02-26,62.720001220703125
2025-02-27,62.34000015258789
2025-02-28,62.2400016784668
2025-03-03,61.31999969482422
2025-03-04,60.61000061035156
2025-03-05,62.75
2025-03-06,62.70000076293945
2025-03-07,62.52000045776367
2025-03-10,60.470001220703125
2025-03-11,61.27000045776367
2025-03-12,61.209999084472656
2025-03-13,61.43000030517578
2025-03-14,63.88999938964844
2025-03-17,64.01000213623047
2025-03-18,64.18000030517578
2025-03-19,64.80000305175781
2025-03-20,64.18000030517578
2025-03-21,62.88999938964844
2025-03-24,63.7599983215332
2025-03-25,64.2699966430664
2025-03-26,63.9900016784668
2025-03-27,63.66999816894531
2025-03-28,61.869998931884766
2025-03-31,61.5
2025-04-01,61.529998779296875
2025-04-02,61.90999984741211
2025-04-03,57.58000183105469
2025-04-04,54.25
2025-04-07,54.189998626708984
2025-04-08,52.5
2025-04-09,57.439998626708984
2025-04-10,55.209999084472656
2025-04-11,56.79999923706055
2025-04-14,56.869998931884766
2025-04-15,56.7400016784668
2025-04-16,56.36000061035156
2025-04-17,56.9900016784668
2025-04-21,55.88999938964844
2025-04-22,57.560001373291016
2025-04-23,58.849998474121094
2025-04-24,60.45000076293945
2025-04-25,60.15999984741211
2025-04-28,60.599998474121094
2025-04-29,60.91999816894531
2025-04-30,60.130001068115234
2025-05-01,60.54999923706055
2025-05-02,62.5099983215332
2025-05-05,61.79999923706055
2025-05-06,61.709999084472656
2025-05-07,61.209999084472656
2025-05-08,61.349998474121094
2025-05-09,61.43000030517578
2025-05-12,63.130001068115234
2025-05-13,63.790000915527344
2025-05-14,63.45000076293945
2025-05-15,63.220001220703125
2025-05-16,63.5
2025-05-19,63.65999984741211
2025-05-20,63.40999984741211
2025-05-21,62.459999084472656
2025-05-22,61.689998626708984
2025-05-23,62.18000030517578
2025-05-27,63.599998474121094
2025-05-28,62.650001525878906
2025-05-29,62.68000030517578
2025-05-30,61.869998931884766
2025-06-02,63.75
2025-06-03,64.30000305175781
2025-06-04,64.4000015258789
2025-06-05,64.33000183105469
2025-06-06,65.02999877929688
2025-06-09,65.75
2025-06-10,65.97000122070312
2025-06-11,64.95999908447266
2025-06-12,64.87999725341797
2025-06-13,64.44999694824219
2025-06-16,65.2699966430664
2025-06-17,64.95999908447266
2025-06-18,64.80999755859375
2025-06-20,63.59000015258789
2025-06-23,64.30000305175781
2025-06-24,64.83000183105469
2025-06-25,64.22000122070312
2025-06-26,66.18000030517578
2025-06-27,66.52999877929688
