Price,Transport ETF
Ticker,IYT
Date,
2025-01-02,67.27283477783203
2025-01-03,68.18743133544922
2025-01-06,68.75408935546875
2025-01-07,68.78392028808594
2025-01-08,68.78392028808594
2025-01-10,68.36637115478516
2025-01-13,68.57514953613281
2025-01-14,69.1318588256836
2025-01-15,69.87745666503906
2025-01-16,70.87158966064453
2025-01-17,70.2552261352539
2025-01-21,71.43824768066406
2025-01-22,70.99089050292969
2025-01-23,71.69672393798828
2025-01-24,71.6668930053711
2025-01-27,72.7902603149414
2025-01-28,71.86571502685547
2025-01-29,71.58737182617188
2025-01-30,70.32481384277344
2025-01-31,69.74822235107422
2025-02-03,68.55525970458984
2025-02-04,69.63887023925781
2025-02-05,68.93303680419922
2025-02-06,70.15581512451172
2025-02-07,70.6727523803711
2025-02-10,71.59729766845703
2025-02-11,71.34877014160156
2025-02-12,71.55754089355469
2025-02-13,71.76631164550781
2025-02-14,72.1341323852539
2025-02-18,72.95926666259766
2025-02-19,72.03472137451172
2025-02-20,71.7762451171875
2025-02-21,69.76810455322266
2025-02-24,69.18156433105469
2025-02-25,69.0821533203125
2025-02-26,69.11197662353516
2025-02-27,68.42603302001953
2025-02-28,69.44998168945312
2025-03-03,68.3763198852539
2025-03-04,67.14360046386719
2025-03-05,68.04825592041016
2025-03-06,67.53131103515625
2025-03-07,67.99855041503906
2025-03-10,66.22900390625
2025-03-11,64.23079681396484
2025-03-12,63.97231674194336
2025-03-13,62.99807357788086
2025-03-14,64.2407455444336
2025-03-17,65.00621795654297
2025-03-18,64.39083099365234
2025-03-19,64.83966064453125
2025-03-20,64.8197021484375
2025-03-21,64.87955474853516
2025-03-24,66.08638000488281
2025-03-25,65.47798156738281
2025-03-26,65.38821411132812
2025-03-27,65.12889862060547
2025-03-28,63.493194580078125
2025-03-31,63.862220764160156
2025-04-01,63.782432556152344
2025-04-02,64.79975891113281
2025-04-03,59.24435806274414
2025-04-04,56.611270904541016
2025-04-07,56.33200454711914
2025-04-08,55.07530975341797
2025-04-09,61.25905990600586
2025-04-10,58.625980377197266
2025-04-11,58.99501037597656
2025-04-14,59.66325378417969
2025-04-15,59.3740119934082
2025-04-16,58.246978759765625
2025-04-17,59.483726501464844
2025-04-21,58.2170524597168
2025-04-22,59.06482696533203
2025-04-23,59.583465576171875
2025-04-24,60.929927825927734
2025-04-25,59.653282165527344
2025-04-28,59.85275650024414
2025-04-29,60.17192077636719
2025-04-30,60.67060852050781
2025-05-01,60.58084487915039
2025-05-02,62.84489440917969
2025-05-05,62.88479232788086
2025-05-06,62.0769157409668
2025-05-07,62.12678527832031
2025-05-08,63.27376937866211
2025-05-09,63.154083251953125
2025-05-12,67.27326202392578
2025-05-13,67.94151306152344
2025-05-14,67.54255676269531
2025-05-15,67.46276092529297
2025-05-16,68.23075103759766
2025-05-19,68.05122375488281
2025-05-20,67.43284606933594
2025-05-21,65.4380874633789
2025-05-22,65.47798156738281
2025-05-23,65.04910278320312
2025-05-27,66.42549133300781
2025-05-28,65.92679595947266
2025-05-29,65.50790405273438
2025-05-30,65.21865844726562
2025-06-02,64.95933532714844
2025-06-03,65.29845428466797
2025-06-04,65.30842590332031
2025-06-05,65.23860931396484
2025-06-06,66.3157730102539
2025-06-09,66.86433410644531
2025-06-10,67.59242248535156
2025-06-11,66.60501861572266
2025-06-12,66.26590728759766
2025-06-13,65.08900451660156
2025-06-16,66.16999816894531
2025-06-17,65.04000091552734
2025-06-18,64.94999694824219
2025-06-20,65.06999969482422
2025-06-23,66.31999969482422
2025-06-24,68.02999877929688
2025-06-25,67.19000244140625
2025-06-26,68.01000213623047
2025-06-27,68.44000244140625
