Price,Transport ETF
Ticker,IYT
Date,
2020-01-02,46.198429107666016
2020-01-03,45.87971115112305
2020-01-06,45.605533599853516
2020-01-07,45.76490020751953
2020-01-08,46.142181396484375
2020-01-09,46.35074996948242
2020-01-10,46.11875534057617
2020-01-13,46.50541305541992
2020-01-14,46.931922912597656
2020-01-15,47.05144119262695
2020-01-16,47.53185272216797
2020-01-17,47.4029541015625
2020-01-21,46.54057693481445
2020-01-22,46.268733978271484
2020-01-23,46.833499908447266
2020-01-24,46.50541305541992
2020-01-27,45.37823486328125
2020-01-28,45.636016845703125
2020-01-29,45.82347869873047
2020-01-30,45.5516471862793
2020-01-31,44.41741943359375
2020-02-03,44.49006652832031
2020-02-04,45.30557632446289
2020-02-05,45.9172248840332
2020-02-06,45.73442840576172
2020-02-07,45.703956604003906
2020-02-10,45.729740142822266
2020-02-11,45.85395050048828
2020-02-12,46.28514099121094
2020-02-13,46.23827362060547
2020-02-14,45.69694137573242
2020-02-18,45.72272491455078
2020-02-19,46.06953811645508
2020-02-20,46.43747329711914
2020-02-21,45.91018295288086
2020-02-24,44.286197662353516
2020-02-25,42.390357971191406
2020-02-26,41.45063018798828
2020-02-27,40.007083892822266
2020-02-28,39.540733337402344
2020-03-02,39.92740249633789
2020-03-03,38.7838134765625
2020-03-04,40.16643142700195
2020-03-05,38.02922439575195
2020-03-06,37.75973892211914
2020-03-09,34.10161590576172
2020-03-10,35.90842056274414
2020-03-11,34.310203552246094
2020-03-12,30.67084503173828
2020-03-13,33.412654876708984
2020-03-16,29.71472930908203
2020-03-17,31.701963424682617
2020-03-18,29.260095596313477
2020-03-19,29.806119918823242
2020-03-20,28.835941314697266
2020-03-23,28.151655197143555
2020-03-24,31.814441680908203
2020-03-25,32.667808532714844
2020-03-26,33.962345123291016
2020-03-27,32.47209167480469
2020-03-30,32.83523178100586
2020-03-31,32.59470748901367
2020-04-01,31.026630401611328
2020-04-02,31.4204158782959
2020-04-03,30.814409255981445
2020-04-06,33.06866455078125
2020-04-07,33.210140228271484
2020-04-08,34.34670639038086
2020-04-09,34.764068603515625
2020-04-13,33.957637786865234
2020-04-14,34.49054718017578
2020-04-15,33.76191329956055
2020-04-16,33.67231750488281
2020-04-17,34.728702545166016
2020-04-20,33.62751388549805
2020-04-21,33.08516311645508
2020-04-22,33.042728424072266
2020-04-23,33.51432800292969
2020-04-24,34.1368408203125
2020-04-27,35.11069107055664
2020-04-28,35.43374252319336
2020-04-29,36.4076042175293
2020-04-30,35.35121536254883
2020-05-01,34.139198303222656
2020-05-04,33.325687408447266
2020-05-05,33.60393524169922
2020-05-06,33.12525939941406
2020-05-07,33.65345001220703
2020-05-08,34.8065185546875
2020-05-11,34.400936126708984
2020-05-12,33.420013427734375
2020-05-13,32.68902587890625
2020-05-14,32.83757019042969
2020-05-15,32.43672180175781
2020-05-18,34.78765106201172
2020-05-19,34.417442321777344
2020-05-20,35.4691162109375
2020-05-21,35.35357666015625
2020-05-22,35.440818786621094
2020-05-26,37.218753814697266
2020-05-27,38.28457260131836
2020-05-28,37.70686340332031
2020-05-29,37.57481384277344
2020-06-01,37.54887008666992
2020-06-02,38.26571273803711
2020-06-03,39.54374313354492
2020-06-04,40.093170166015625
2020-06-05,41.34526443481445
2020-06-08,42.109256744384766
2020-06-09,41.189640045166016
2020-06-10,40.13325500488281
2020-06-11,37.0041618347168
2020-06-12,38.05820083618164
2020-06-15,38.33058166503906
2020-06-16,38.834232330322266
