Price,Consumer Discretionary ETF
Ticker,XLY
Date,
2020-01-02,121.00402069091797
2020-01-03,119.97427368164062
2020-01-06,120.30799102783203
2020-01-07,120.11730194091797
2020-01-08,120.4796142578125
2020-01-09,121.11843872070312
2020-01-10,120.4605484008789
2020-01-13,120.84192657470703
2020-01-14,120.80377960205078
2020-01-15,120.52727508544922
2020-01-16,121.6047134399414
2020-01-17,122.03375244140625
2020-01-21,121.66189575195312
2020-01-22,121.6047134399414
2020-01-23,121.78587341308594
2020-01-24,120.08868408203125
2020-01-27,118.29619598388672
2020-01-28,119.44986724853516
2020-01-29,119.38313293457031
2020-01-30,119.18289947509766
2020-01-31,119.48799133300781
2020-02-03,120.33658599853516
2020-02-04,122.529541015625
2020-02-05,123.14932250976562
2020-02-06,122.87278747558594
2020-02-07,122.3388671875
2020-02-10,123.72135162353516
2020-02-11,124.69390869140625
2020-02-12,125.97154998779297
2020-02-13,125.75226593017578
2020-02-14,125.56158447265625
2020-02-18,125.55201721191406
2020-02-19,126.11457061767578
2020-02-20,126.16226196289062
2020-02-21,124.23625946044922
2020-02-24,119.96472930908203
2020-02-25,116.76111602783203
2020-02-26,115.83623504638672
2020-02-27,111.15473175048828
2020-02-28,110.43965148925781
2020-03-02,114.23441314697266
2020-03-03,111.46939849853516
2020-03-04,115.32136535644531
2020-03-05,111.02125549316406
2020-03-06,109.31456756591797
2020-03-09,102.43054962158203
2020-03-10,108.09412384033203
2020-03-11,102.18264770507812
2020-03-12,91.85664367675781
2020-03-13,97.53929901123047
2020-03-16,85.18238830566406
2020-03-17,88.46231079101562
2020-03-18,83.38035583496094
2020-03-19,86.28841400146484
2020-03-20,83.72360229492188
2020-03-23,83.86155700683594
2020-03-24,91.72748565673828
2020-03-25,93.33707427978516
2020-03-26,97.19818115234375
2020-03-27,93.94066619873047
2020-03-30,95.90475463867188
2020-03-31,93.96942138671875
2020-04-01,89.77297973632812
2020-04-02,90.10832214355469
2020-04-03,88.53703308105469
2020-04-06,95.90475463867188
2020-04-07,97.33230590820312
2020-04-08,100.39818572998047
2020-04-09,102.20897674560547
2020-04-13,102.18022918701172
2020-04-14,106.17546844482422
2020-04-15,103.84733581542969
2020-04-16,105.09283447265625
2020-04-17,108.19703674316406
2020-04-20,106.30962371826172
2020-04-21,103.5503158569336
2020-04-22,105.78265380859375
2020-04-23,105.75391387939453
2020-04-24,107.54553985595703
2020-04-27,109.55752563476562
2020-04-28,109.98866271972656
2020-04-29,112.41263580322266
2020-04-30,111.7132339477539
2020-05-01,107.53596496582031
2020-05-04,108.12039184570312
2020-05-05,108.51319885253906
2020-05-06,108.49405670166016
2020-05-07,110.1994400024414
2020-05-08,112.34557342529297
2020-05-11,112.09646606445312
2020-05-12,109.64376831054688
2020-05-13,107.7563247680664
2020-05-14,109.36591339111328
2020-05-15,110.64016723632812
2020-05-18,114.8270034790039
2020-05-19,114.41504669189453
2020-05-20,115.90966796875
2020-05-21,116.32162475585938
2020-05-22,116.14916229248047
2020-05-26,117.98872375488281
2020-05-27,120.01029205322266
