Price,Dell Technologies
Ticker,DELL
Date,
2020-01-02,24.481901168823242
2020-01-03,23.676603317260742
2020-01-06,23.91537857055664
2020-01-07,23.316089630126953
2020-01-08,23.409730911254883
2020-01-09,23.231815338134766
2020-01-10,23.180315017700195
2020-01-13,23.33013916015625
2020-01-14,23.812381744384766
2020-01-15,23.69065284729004
2020-01-16,24.0371150970459
2020-01-17,23.56891632080078
2020-01-21,23.077314376831055
2020-01-22,23.38163948059082
2020-01-23,23.582962036132812
2020-01-24,23.40036964416504
2020-01-27,22.5435733795166
2020-01-28,22.79171371459961
2020-01-29,22.918127059936523
2020-01-30,23.11945152282715
2020-01-31,22.833852767944336
2020-02-03,23.025808334350586
2020-02-04,23.8919734954834
2020-02-05,23.77960205078125
2020-02-06,24.744083404541016
2020-02-07,24.1682071685791
2020-02-10,24.397619247436523
2020-02-11,24.46784782409668
2020-02-12,24.954771041870117
2020-02-13,24.60363006591797
2020-02-14,24.75813102722168
2020-02-18,24.706628799438477
2020-02-19,24.973501205444336
2020-02-20,24.790904998779297
2020-02-21,24.215024948120117
2020-02-24,22.618478775024414
2020-02-25,21.639957427978516
2020-02-26,21.504182815551758
2020-02-27,20.394554138183594
2020-02-28,18.943153381347656
2020-03-02,19.846771240234375
2020-03-03,19.561172485351562
2020-03-04,20.310279846191406
2020-03-05,19.12575340270996
2020-03-06,18.549869537353516
2020-03-09,16.972055435180664
2020-03-10,18.325138092041016
2020-03-11,17.295108795166016
2020-03-12,15.328691482543945
2020-03-13,16.83159828186035
2020-03-16,15.080550193786621
2020-03-17,14.663856506347656
2020-03-18,13.516777038574219
2020-03-19,14.963500022888184
2020-03-20,15.211642265319824
2020-03-23,15.890527725219727
2020-03-24,18.189361572265625
2020-03-25,18.418777465820312
2020-03-26,19.9169979095459
2020-03-27,18.14253807067871
2020-03-30,18.63414764404297
2020-03-31,18.517093658447266
2020-04-01,17.276382446289062
2020-04-02,17.38874626159668
2020-04-03,17.061010360717773
2020-04-06,18.217453002929688
2020-04-07,17.964630126953125
2020-04-08,18.905698776245117
2020-04-09,19.45816993713379
2020-04-13,18.943153381347656
2020-04-14,19.355165481567383
2020-04-15,18.9384708404541
2020-04-16,19.2427978515625
2020-04-17,19.43475914001465
2020-04-20,19.17725372314453
2020-04-21,17.510480880737305
2020-04-22,18.14253807067871
2020-04-23,18.217453002929688
2020-04-24,18.5826473236084
2020-04-27,18.816741943359375
2020-04-28,19.12106704711914
2020-04-29,20.314970016479492
2020-04-30,19.987228393554688
2020-05-01,18.727785110473633
2020-05-04,18.98529624938965
2020-05-05,18.816741943359375
2020-05-06,18.957202911376953
2020-05-07,19.5471248626709
2020-05-08,20.436695098876953
2020-05-11,20.305601119995117
2020-05-12,19.781225204467773
2020-05-13,19.21002769470215
2020-05-14,19.598623275756836
2020-05-15,19.70631217956543
2020-05-18,20.4975643157959
2020-05-19,20.619291305541992
2020-05-20,20.909574508666992
2020-05-21,20.783161163330078
2020-05-22,20.165142059326172
2020-05-26,20.815933227539062
2020-05-27,21.33563232421875
2020-05-28,21.34031105041504
2020-05-29,23.241180419921875
2020-06-01,23.114768981933594
2020-06-02,23.011764526367188
2020-06-03,22.85257911682129
2020-06-04,23.03517723083496
2020-06-05,23.6531925201416
2020-06-08,24.186935424804688
2020-06-09,23.423776626586914
2020-06-10,23.12413215637207
2020-06-11,21.813188552856445
2020-06-12,21.958330154418945
2020-06-15,22.033239364624023
2020-06-16,22.32352066040039
2020-06-17,22.24860954284668
2020-06-18,22.20178985595703
2020-06-19,22.904083251953125
2020-06-22,22.60911750793457
2020-06-23,22.946216583251953
2020-06-24,24.861135482788086
2020-06-25,24.158845901489258
2020-06-26,24.463165283203125
2020-06-29,25.17014503479004
2020-06-30,25.722610473632812
2020-07-01,25.413604736328125
2020-07-02,25.16546058654785
2020-07-06,25.31060028076172
2020-07-07,24.790904998779297
2020-07-08,25.352737426757812
2020-07-09,25.13736915588379
2020-07-10,25.01563835144043
2020-07-13,24.238433837890625
2020-07-14,24.580217361450195
2020-07-15,24.66449546813965
2020-07-16,27.67030143737793
2020-07-17,28.264909744262695
2020-07-20,28.77056121826172
2020-07-21,28.58796501159668
2020-07-22,28.915699005126953
2020-07-23,28.803333282470703
2020-07-24,28.466230392456055
2020-07-27,28.54114532470703
2020-07-28,27.796716690063477
2020-07-29,27.94654083251953
2020-07-30,27.698394775390625
2020-07-31,28.012086868286133
2020-08-03,28.3164119720459
2020-08-04,28.241500854492188
2020-08-05,28.377275466918945
2020-08-06,28.53645896911621
2020-08-07,28.466230392456055
2020-08-10,28.94847297668457
2020-08-11,28.81269645690918
2020-08-12,28.94847297668457
2020-08-13,27.885671615600586
2020-08-14,28.049543380737305
2020-08-17,27.94654083251953
2020-08-18,28.101043701171875
2020-08-19,28.021448135375977
2020-08-20,27.932491302490234
2020-08-21,28.307048797607422
2020-08-24,28.822057723999023
2020-08-25,28.391321182250977
2020-08-26,29.08893394470215
2020-08-27,29.229393005371094
2020-08-28,30.999168395996094
2020-08-31,30.93830108642578
2020-09-01,31.07408332824707
2020-09-02,32.05728530883789
2020-09-03,30.68547248840332
2020-09-04,30.268783569335938
2020-09-08,30.034687042236328
2020-09-09,31.294124603271484
2020-09-10,30.63865852355957
2020-09-11,31.083438873291016
2020-09-14,31.29881477355957
2020-09-15,31.415855407714844
2020-09-16,31.542272567749023
2020-09-17,31.163036346435547
2020-09-18,31.07408332824707
2020-09-21,30.666746139526367
2020-09-22,31.045988082885742
2020-09-23,30.718246459960938
2020-09-24,30.60588836669922
2020-09-25,30.769750595092773
2020-09-28,31.51417350769043
2020-09-29,32.02451705932617
2020-09-30,31.692096710205078
2020-10-01,31.62186050415039
2020-10-02,31.44394874572754
2020-10-05,31.935550689697266
2020-10-06,31.593772888183594
2020-10-07,31.561004638671875
2020-10-08,32.146240234375
2020-10-09,32.01982879638672
2020-10-12,32.42247772216797
2020-10-13,33.012393951416016
2020-10-14,33.077945709228516
2020-10-15,32.792354583740234
2020-10-16,32.84385299682617
2020-10-19,32.539527893066406
2020-10-20,32.49739456176758
2020-10-21,32.694034576416016
2020-10-22,32.20242691040039
2020-10-23,31.921504974365234
2020-10-26,30.31092071533203
2020-10-27,29.763134002685547
2020-10-28,28.419410705566406
2020-10-29,28.33513641357422
2020-10-30,28.213407516479492
2020-11-02,28.227453231811523
2020-11-03,28.911014556884766
2020-11-04,29.135751724243164
2020-11-05,30.20323371887207
2020-11-06,30.24069595336914
2020-11-09,30.076824188232422
2020-11-10,30.25006103515625
2020-11-11,30.3764705657959
2020-11-12,30.161100387573242
2020-11-13,30.952342987060547
2020-11-16,31.53291130065918
2020-11-17,31.77168846130371
2020-11-18,31.649948120117188
2020-11-19,32.07133102416992
2020-11-20,31.996421813964844
2020-11-23,32.48333740234375
2020-11-24,32.92813491821289
2020-11-25,32.46929931640625
2020-11-27,32.68935012817383
2020-11-30,32.3194694519043
2020-12-01,33.01708221435547
2020-12-02,33.01708221435547
2020-12-03,33.199684143066406
2020-12-04,33.756832122802734
2020-12-07,32.9515380859375
2020-12-08,33.649147033691406
2020-12-09,33.48996353149414
2020-12-10,33.7849235534668
