Price,Copper Futures
Ticker,HG=F
Date,
2020-01-02,2.8329999446868896
2020-01-03,2.7985000610351562
2020-01-06,2.80049991607666
2020-01-07,2.803999900817871
2020-01-08,2.819000005722046
2020-01-09,2.810499906539917
2020-01-10,2.81850004196167
2020-01-13,2.8615000247955322
2020-01-14,2.875999927520752
2020-01-15,2.869999885559082
2020-01-16,2.8519999980926514
2020-01-17,2.8494999408721924
2020-01-21,2.7985000610351562
2020-01-22,2.7669999599456787
2020-01-23,2.7260000705718994
2020-01-24,2.685499906539917
2020-01-27,2.5964999198913574
2020-01-28,2.5794999599456787
2020-01-29,2.553499937057495
2020-01-30,2.5234999656677246
2020-01-31,2.5199999809265137
2020-02-03,2.513000011444092
2020-02-04,2.547499895095825
2020-02-05,2.5789999961853027
2020-02-06,2.5985000133514404
2020-02-07,2.559000015258789
2020-02-10,2.557499885559082
2020-02-11,2.5885000228881836
2020-02-12,2.6059999465942383
2020-02-13,2.619499921798706
2020-02-14,2.6054999828338623
2020-02-18,2.609999895095825
2020-02-19,2.612499952316284
2020-02-20,2.5950000286102295
2020-02-21,2.618000030517578
2020-02-24,2.5924999713897705
2020-02-25,2.5964999198913574
2020-02-26,2.5764999389648438
2020-02-27,2.571500062942505
2020-02-28,2.5460000038146973
2020-03-02,2.6010000705718994
2020-03-03,2.5794999599456787
2020-03-04,2.5929999351501465
2020-03-05,2.5824999809265137
2020-03-06,2.572999954223633
2020-03-09,2.5239999294281006
2020-03-10,2.5339999198913574
2020-03-11,2.51200008392334
2020-03-12,2.4809999465942383
2020-03-13,2.4739999771118164
2020-03-16,2.3984999656677246
2020-03-17,2.315500020980835
2020-03-18,2.1605000495910645
2020-03-19,2.200000047683716
2020-03-20,2.190500020980835
2020-03-23,2.119499921798706
2020-03-24,2.197499990463257
2020-03-25,2.2339999675750732
2020-03-26,2.2079999446868896
2020-03-27,2.197000026702881
2020-03-30,2.1619999408721924
2020-03-31,2.240000009536743
2020-04-01,2.191999912261963
2020-04-02,2.2330000400543213
2020-04-03,2.2100000381469727
2020-04-06,2.234999895095825
2020-04-07,2.2885000705718994
2020-04-08,2.2780001163482666
2020-04-09,2.2774999141693115
2020-04-13,2.320499897003174
2020-04-14,2.3469998836517334
2020-04-15,2.3125
2020-04-16,2.304500102996826
2020-04-17,2.3534998893737793
2020-04-20,2.3345000743865967
2020-04-21,2.2669999599456787
2020-04-22,2.317500114440918
2020-04-23,2.3239998817443848
2020-04-24,2.3480000495910645
2020-04-27,2.381999969482422
2020-04-28,2.378999948501587
2020-04-29,2.374500036239624
2020-04-30,2.3540000915527344
2020-05-01,2.31850004196167
2020-05-04,2.3239998817443848
