Price,Semiconductor ETF
Ticker,SMH
Date,
2020-01-02,69.92044067382812
2020-01-03,68.77507781982422
2020-01-06,68.04048919677734
2020-01-07,69.17620086669922
2020-01-08,69.29218292236328
2020-01-09,69.68846893310547
2020-01-10,69.1085433959961
2020-01-13,70.0750961303711
2020-01-14,70.22007751464844
2020-01-15,69.18103790283203
2020-01-16,70.29740142822266
2020-01-17,70.58735656738281
2020-01-21,70.64535522460938
2020-01-22,71.22529602050781
2020-01-23,71.6698989868164
2020-01-24,71.35577392578125
2020-01-27,68.48027801513672
2020-01-28,70.19591522216797
2020-01-29,69.12786102294922
2020-01-30,68.96839141845703
2020-01-31,66.48435974121094
2020-02-03,67.39290618896484
2020-02-04,69.56282043457031
2020-02-05,70.94498443603516
2020-02-06,70.9933090209961
2020-02-07,69.36951446533203
2020-02-10,70.46170806884766
2020-02-11,71.95021057128906
2020-02-12,72.96508026123047
2020-02-13,73.13907623291016
2020-02-14,72.82493591308594
2020-02-18,71.73271942138672
2020-02-19,73.57884979248047
2020-02-20,72.41899108886719
2020-02-21,70.2925796508789
2020-02-24,67.10778045654297
2020-02-25,65.17466735839844
2020-02-26,65.56612396240234
2020-02-27,62.54564666748047
2020-02-28,63.778011322021484
2020-03-02,65.986572265625
2020-03-03,63.821495056152344
2020-03-04,67.09327697753906
2020-03-05,64.98619079589844
2020-03-06,63.734500885009766
2020-03-09,58.43296432495117
2020-03-10,62.03337097167969
2020-03-11,58.684268951416016
2020-03-12,52.48866271972656
2020-03-13,57.57756042480469
2020-03-16,49.27970504760742
2020-03-17,53.27157211303711
2020-03-18,48.844757080078125
2020-03-19,49.70982360839844
2020-03-20,48.83992385864258
2020-03-23,50.6522102355957
2020-03-24,55.881256103515625
2020-03-25,55.460811614990234
2020-03-26,58.82441711425781
2020-03-27,55.571964263916016
2020-03-30,57.75154113769531
2020-03-31,56.61100769042969
2020-04-01,53.80317306518555
2020-04-02,55.25300216674805
2020-04-03,54.14630126953125
2020-04-06,59.53000259399414
2020-04-07,59.34635543823242
2020-04-08,61.313289642333984
2020-04-09,59.863460540771484
2020-04-13,60.64636993408203
2020-04-14,63.2995491027832
2020-04-15,61.59359359741211
2020-04-16,63.22705841064453
2020-04-17,63.84565734863281
2020-04-20,62.49248123168945
2020-04-21,59.694313049316406
2020-04-22,63.06758499145508
2020-04-23,62.48765182495117
2020-04-24,63.74900817871094
2020-04-27,64.53673553466797
2020-04-28,64.10662841796875
2020-04-29,67.11743927001953
2020-04-30,64.62857055664062
2020-05-01,61.583927154541016
2020-05-04,62.265350341796875
2020-05-05,63.077247619628906
2020-05-06,63.81666564941406
2020-05-07,64.39659881591797
2020-05-08,66.03972625732422
2020-05-11,66.07357025146484
2020-05-12,64.25645446777344
2020-05-13,63.11591339111328
2020-05-14,64.88469696044922
2020-05-15,63.40587615966797
2020-05-18,66.13639068603516
2020-05-19,65.88990783691406
2020-05-20,68.27729797363281
2020-05-21,66.54717254638672
2020-05-22,66.68732452392578
2020-05-26,67.26242065429688
2020-05-27,68.27729797363281
2020-05-28,66.81780242919922
2020-05-29,68.15648651123047
2020-06-01,68.05500793457031
2020-06-02,69.39366912841797
2020-06-03,71.30744934082031
2020-06-04,72.09518432617188
2020-06-05,73.79632568359375
2020-06-08,73.57401275634766
2020-06-09,73.7093276977539
2020-06-10,74.08628845214844
2020-06-11,69.53865814208984
2020-06-12,70.51970672607422
2020-06-15,71.43309783935547
2020-06-16,72.5494613647461
2020-06-17,73.31788635253906
2020-06-18,73.21639251708984
2020-06-19,72.87326049804688
2020-06-22,73.5401840209961
2020-06-23,73.78182220458984
2020-06-24,72.23533630371094
2020-06-25,72.72828674316406
2020-06-26,71.36544799804688
2020-06-29,72.09034729003906
2020-06-30,73.84465789794922
2020-07-01,72.99891662597656
2020-07-02,74.11529541015625
2020-07-06,76.15953826904297
2020-07-07,75.21231842041016
2020-07-08,76.29003143310547
2020-07-09,77.61421966552734
2020-07-10,77.30973815917969
2020-07-13,76.19820404052734
2020-07-14,77.47888946533203
2020-07-15,77.12609100341797
2020-07-16,77.06809997558594
2020-07-17,77.42573547363281
2020-07-20,78.97221374511719
2020-07-21,78.57592010498047
2020-07-22,79.1510238647461
2020-07-23,77.84618377685547
2020-07-24,77.06327056884766
