Price,Boeing,Steel ETF,Crude Oil,Aerospace ETF,Industrial ETF,10Y Yield,Volatility Index,USD Index,Transport ETF,Airline ETF
Ticker,BA,SLX,CL=F,ITA,XLI,^TNX,^VIX,DX-Y.NYB,IYT,JETS
Date,,,,,,,,,,
2020-01-02,331.34857177734375,31.094812393188477,61.18000030517578,107.82553100585938,75.93224334716797,1.8819999694824219,12.470000267028809,96.8499984741211,46.19843673706055,31.62630844116211
2020-01-03,330.7919006347656,30.661239624023438,63.04999923706055,109.05844116210938,75.785888671875,1.7879999876022339,14.020000457763672,96.83999633789062,45.87971878051758,30.95011329650879
2020-01-06,331.7660827636719,30.366727828979492,63.27000045776367,109.20547485351562,75.81332397460938,1.8109999895095825,13.850000381469727,96.66999816894531,45.60554122924805,30.82103157043457
2020-01-07,335.28515625,30.579429626464844,62.70000076293945,109.69863891601562,75.6578140258789,1.8270000219345093,13.789999961853027,96.9800033569336,45.7649040222168,30.724716186523438
2020-01-08,329.41009521484375,30.67759895324707,59.61000061035156,108.9683609008789,75.91395568847656,1.8739999532699585,13.449999809265137,97.30000305175781,46.142189025878906,31.054370880126953
2020-01-09,334.3507080078125,30.473079681396484,59.560001373291016,109.79349517822266,76.2341079711914,1.8580000400543213,12.539999961853027,97.44999694824219,46.35074996948242,31.205299377441406
2020-01-10,327.96868896484375,30.252201080322266,59.040000915527344,108.38982391357422,75.69441986083984,1.8250000476837158,12.5600004196167,97.36000061035156,46.118751525878906,31.137779235839844
2020-01-13,328.26690673828125,30.800312042236328,58.08000183105469,109.27183532714844,76.31643676757812,1.8480000495910645,12.319999694824219,97.3499984741211,46.50542068481445,31.188419342041016
2020-01-14,330.3843078613281,30.94756507873535,58.22999954223633,109.23866271972656,76.32559967041016,1.8179999589920044,12.390000343322754,97.37000274658203,46.931922912597656,31.441621780395508
2020-01-15,327.8493957519531,30.563066482543945,57.810001373291016,109.49000549316406,76.44450378417969,1.7879999876022339,12.420000076293945,97.2300033569336,47.05143356323242,31.5170841217041
2020-01-16,330.036376953125,30.51398277282715,58.52000045776367,110.7371597290039,77.20372772216797,1.809000015258789,12.319999694824219,97.31999969482422,47.53184127807617,31.97284698486328
2020-01-17,322.2328186035156,30.816669464111328,58.540000915527344,110.11597442626953,77.21287536621094,1.8359999656677246,12.100000381469727,97.61000061035156,47.402957916259766,32.022491455078125
2020-01-21,311.5165710449219,29.99042320251465,58.34000015258789,109.25289154052734,76.3621597290039,1.7690000534057617,12.850000381469727,97.52999877929688,46.54058074951172,31.013660430908203
2020-01-22,307.17242431640625,30.350366592407227,56.7400016784668,108.54631042480469,75.95967102050781,1.7690000534057617,12.90999984741211,97.52999877929688,46.26873016357422,30.989830017089844
2020-01-23,315.9104309082031,30.145851135253906,55.59000015258789,109.65596008300781,76.78294372558594,1.7400000095367432,12.979999542236328,97.69000244140625,46.833499908447266,31.625314712524414
2020-01-24,321.1393127441406,29.53230094909668,54.189998626708984,109.91204833984375,76.42619323730469,1.680999994277954,14.5600004196167,97.8499984741211,46.50542068481445,31.06032943725586
2020-01-27,314.72747802734375,28.23975372314453,53.13999938964844,109.0916519165039,74.98090362548828,1.6050000190734863,18.229999542236328,97.95999908447266,45.37822723388672,30.036602020263672
2020-01-28,314.6877136230469,28.36246109008789,53.47999954223633,110.01636505126953,75.4657211303711,1.6410000324249268,16.280000686645508,98.0199966430664,45.63600158691406,30.443710327148438
2020-01-29,320.1153869628906,28.2152099609375,53.33000183105469,110.06851959228516,75.86820983886719,1.593999981880188,16.389999389648438,97.98999786376953,45.8234748840332,30.16667938232422
2020-01-30,321.3878173828125,28.288835525512695,52.13999938964844,110.13491821289062,75.95052337646484,1.5579999685287476,15.489999771118164,97.87000274658203,45.5516471862793,30.38214683532715
2020-01-31,316.3875732421875,27.41349983215332,51.560001373291016,107.97725677490234,74.19425201416016,1.5199999809265137,18.84000015258789,97.38999938964844,44.417423248291016,29.629493713378906
2020-02-03,314.1310119628906,27.601659774780273,50.11000061035156,107.7923355102539,74.16680908203125,1.5199999809265137,17.969999313354492,97.80000305175781,44.49006652832031,29.836029052734375
