Price,Steel ETF
Ticker,SLX
Date,
2020-01-02,31.094812393188477
2020-01-03,30.661239624023438
2020-01-06,30.366727828979492
2020-01-07,30.579429626464844
2020-01-08,30.67759895324707
2020-01-09,30.473079681396484
2020-01-10,30.252201080322266
2020-01-13,30.800312042236328
2020-01-14,30.94756507873535
2020-01-15,30.563066482543945
2020-01-16,30.51398277282715
2020-01-17,30.816669464111328
2020-01-21,29.99042320251465
2020-01-22,30.350366592407227
2020-01-23,30.145851135253906
2020-01-24,29.53230094909668
2020-01-27,28.23975372314453
2020-01-28,28.36246109008789
2020-01-29,28.2152099609375
2020-01-30,28.288835525512695
2020-01-31,27.41349983215332
2020-02-03,27.601659774780273
2020-02-04,28.50971221923828
2020-02-05,28.992374420166016
2020-02-06,28.976011276245117
2020-02-07,28.30519676208496
2020-02-10,28.092500686645508
2020-02-11,28.56697654724121
2020-02-12,28.787857055664062
2020-02-13,28.49335289001465
2020-02-14,28.157941818237305
2020-02-18,28.035234451293945
2020-02-19,28.24793243408203
2020-02-20,27.879802703857422
2020-02-21,27.675283432006836
2020-02-24,26.36637306213379
2020-02-25,25.581026077270508
2020-02-26,25.286521911621094
2020-02-27,24.313020706176758
2020-02-28,23.98579216003418
2020-03-02,24.66478729248047
2020-03-03,24.30483627319336
2020-03-04,25.041099548339844
2020-03-05,23.797636032104492
2020-03-06,22.82413101196289
2020-03-09,19.519134521484375
2020-03-10,20.926212310791016
2020-03-11,19.25735092163086
2020-03-12,16.860408782958984
2020-03-13,18.995567321777344
2020-03-16,16.524999618530273
2020-03-17,17.195816040039062
2020-03-18,15.085196495056152
2020-03-19,15.690570831298828
2020-03-20,15.346979141235352
2020-03-23,14.75796890258789
2020-03-24,16.557722091674805
2020-03-25,17.1140079498291
2020-03-26,17.97298240661621
2020-03-27,17.07310676574707
2020-03-30,17.392152786254883
2020-03-31,17.899354934692383
2020-04-01,17.18763542175293
2020-04-02,17.473960876464844
2020-04-03,16.819501876831055
2020-04-06,17.98116111755371
2020-04-07,18.210222244262695
2020-04-08,18.856494903564453
2020-04-09,19.159181594848633
2020-04-13,19.05283546447754
2020-04-14,19.101917266845703
2020-04-15,18.062969207763672
2020-04-16,18.038427352905273
2020-04-17,18.75832748413086
2020-04-20,18.062969207763672
2020-04-21,17.711198806762695
2020-04-22,18.062969207763672
2020-04-23,18.332929611206055
2020-04-24,18.062969207763672
2020-04-27,18.79104995727539
2020-04-28,19.1264591217041
2020-04-29,20.623525619506836
2020-04-30,19.453689575195312
2020-05-01,18.80741310119629
2020-05-04,19.00374984741211
2020-05-05,18.81559181213379
2020-05-06,18.602895736694336
2020-05-07,19.1264591217041
2020-05-08,19.96088981628418
2020-05-11,19.00374984741211
2020-05-12,18.570173263549805
2020-05-13,17.964799880981445
2020-05-14,18.226581573486328
2020-05-15,18.382017135620117
2020-05-18,19.829998016357422
2020-05-19,19.633665084838867
2020-05-20,19.98543357849121
2020-05-21,19.838178634643555
2020-05-22,19.71546745300293
2020-05-26,20.451732635498047
2020-05-27,21.457956314086914
2020-05-28,21.098007202148438
2020-05-29,21.31070327758789
2020-06-01,21.670654296875
2020-06-02,22.35783576965332
2020-06-03,23.249530792236328
2020-06-04,23.724008560180664
2020-06-05,24.419368743896484
2020-06-08,25.270160675048828
2020-06-09,24.681148529052734
2020-06-10,24.09214210510254
2020-06-11,21.75246238708496
2020-06-12,22.758686065673828
2020-06-15,22.78322982788086
2020-06-16,23.642202377319336
2020-06-17,23.1759033203125
2020-06-18,22.987747192382812
2020-06-19,22.64415740966797
2020-06-22,22.775049209594727
2020-06-23,23.09409523010254
2020-06-24,22.25966453552246
2020-06-25,22.742324829101562
2020-06-26,21.883352279663086
2020-06-29,22.36601448059082
2020-06-30,22.554170608520508
2020-07-01,22.177858352661133
2020-07-02,22.513267517089844
2020-07-06,22.930482864379883
2020-07-07,22.406917572021484
2020-07-08,22.537805557250977
2020-07-09,22.128774642944336
2020-07-10,22.88957977294922
2020-07-13,22.791410446166992
2020-07-14,23.552215576171875
2020-07-15,23.781272888183594
2020-07-16,23.494945526123047
2020-07-17,23.388601303100586
2020-07-20,23.331336975097656
2020-07-21,23.65038299560547
2020-07-22,23.87126350402832
2020-07-23,23.6667423248291
2020-07-24,23.658565521240234
2020-07-27,24.247573852539062
2020-07-28,23.71582794189453
2020-07-29,24.280296325683594
2020-07-30,23.83035659790039
2020-07-31,23.37224006652832
2020-08-03,23.87126350402832
2020-08-04,24.026695251464844
2020-08-05,24.80385971069336
2020-08-06,24.66478729248047
2020-08-07,24.46027183532715
2020-08-10,25.36014747619629
2020-08-11,25.343786239624023
2020-08-12,25.392871856689453
2020-08-13,25.171993255615234
2020-08-14,25.319244384765625
2020-08-17,25.425594329833984
2020-08-18,25.630109786987305
2020-08-19,25.392871856689453
2020-08-20,25.38469123840332
2020-08-21,24.812040328979492
2020-08-24,25.270160675048828
2020-08-25,25.196533203125
2020-08-26,25.114727020263672
2020-08-27,25.00019645690918
2020-08-28,25.564664840698242
2020-08-31,25.14744758605957
2020-09-01,25.76099967956543
2020-09-02,25.883710861206055
2020-09-03,25.311065673828125
2020-09-04,25.630109786987305
2020-09-08,24.869306564331055
2020-09-09,25.327425003051758
2020-09-10,24.91838836669922
2020-09-11,25.392871856689453
2020-09-14,25.81826400756836
2020-09-15,26.17003631591797
2020-09-16,26.276382446289062
2020-09-17,26.816308975219727
2020-09-18,26.636337280273438
2020-09-21,25.2210750579834
2020-09-22,25.1883544921875
2020-09-23,24.812040328979492
2020-09-24,24.84476661682129
2020-09-25,25.00837516784668
2020-09-28,25.47467613220215
2020-09-29,25.122907638549805
2020-09-30,25.27834129333496
2020-10-01,25.482858657836914
2020-10-02,25.81826400756836
2020-10-05,26.636337280273438
2020-10-06,26.210939407348633
2020-10-07,26.914480209350586
2020-10-08,27.208982467651367
2020-10-09,26.971744537353516
2020-10-12,26.857215881347656
2020-10-13,26.538166046142578
2020-10-14,26.709962844848633
2020-10-15,26.78359031677246
2020-10-16,26.865394592285156
2020-10-19,26.759042739868164
2020-10-20,26.89811897277832
2020-10-21,27.012649536132812
2020-10-22,27.37259864807129
2020-10-23,27.675283432006836
2020-10-26,26.971744537353516
2020-10-27,26.75086784362793
2020-10-28,25.63829231262207
2020-10-29,26.268205642700195
2020-10-30,26.161855697631836
2020-11-02,26.62815284729004
2020-11-03,27.258066177368164
2020-11-04,26.23548126220703
2020-11-05,27.495311737060547
2020-11-06,27.830717086791992
2020-11-09,28.88602638244629
2020-11-10,28.95147132873535
2020-11-11,28.967830657958984
2020-11-12,28.476991653442383
2020-11-13,29.352327346801758
2020-11-16,30.489442825317383
2020-11-17,30.7266845703125
2020-11-18,30.284923553466797
2020-11-19,30.423994064331055
2020-11-20,30.44854164123535
2020-11-23,31.43840217590332
2020-11-24,33.18906784057617
2020-11-25,33.00909423828125
2020-11-27,33.17271041870117
2020-11-30,32.493709564208984
2020-12-01,33.94987487792969
2020-12-02,34.2607421875
2020-12-03,34.24437713623047
2020-12-04,35.86415481567383
2020-12-07,35.99504470825195
2020-12-08,36.3386344909668
2020-12-09,35.94596481323242
2020-12-10,37.25487518310547
2020-12-11,36.71495056152344
2020-12-14,36.15866470336914
2020-12-15,37.28759765625
2020-12-16,37.22215270996094
2020-12-17,37.49211883544922
2020-12-18,37.04217529296875
2020-12-21,36.936336517333984
2020-12-22,36.47796630859375
2020-12-23,36.96967315673828
2020-12-24,37.00300598144531
2020-12-28,36.72798156738281
2020-12-29,36.88632583618164
2020-12-30,37.436370849609375
2020-12-31,37.1946907043457
2021-01-04,37.994754791259766
2021-01-05,39.41153335571289
2021-01-06,41.378360748291016
2021-01-07,42.18675994873047
2021-01-08,42.06175231933594
2021-01-11,41.545040130615234
2021-01-12,42.09508514404297
2021-01-13,40.969993591308594
2021-01-14,41.82839584350586
2021-01-15,39.761558532714844
2021-01-19,39.91990661621094
2021-01-20,39.81156921386719
2021-01-21,39.128177642822266
2021-01-22,38.78648376464844
2021-01-25,38.3947868347168
2021-01-26,38.03642272949219
2021-01-27,37.01967239379883
2021-01-28,37.428035736083984
2021-01-29,36.02792739868164
2021-02-01,37.16968536376953
2021-02-02,37.061344146728516
2021-02-03,37.38637161254883
2021-02-04,37.594722747802734
2021-02-05,38.3947868347168
2021-02-08,39.35319900512695
2021-02-09,39.3115234375
2021-02-10,39.4615364074707
2021-02-11,39.22818374633789
2021-02-12,39.6448860168457
2021-02-16,40.86165237426758
2021-02-17,40.6616325378418
2021-02-18,40.228271484375
