Price,Airline ETF
Ticker,JETS
Date,
2020-01-02,31.62630844116211
2020-01-03,30.95011329650879
2020-01-06,30.82103157043457
2020-01-07,30.724716186523438
2020-01-08,31.054370880126953
2020-01-09,31.205299377441406
2020-01-10,31.137779235839844
2020-01-13,31.188419342041016
2020-01-14,31.441621780395508
2020-01-15,31.5170841217041
2020-01-16,31.97284698486328
2020-01-17,32.022491455078125
2020-01-21,31.013660430908203
2020-01-22,30.989830017089844
2020-01-23,31.625314712524414
2020-01-24,31.06032943725586
2020-01-27,30.036602020263672
2020-01-28,30.443710327148438
2020-01-29,30.16667938232422
2020-01-30,30.38214683532715
2020-01-31,29.629493713378906
2020-02-03,29.836029052734375
2020-02-04,30.682018280029297
2020-02-05,31.28473472595215
2020-02-06,30.940181732177734
2020-02-07,30.592653274536133
2020-02-10,30.622440338134766
2020-02-11,31.257925033569336
2020-02-12,31.694822311401367
2020-02-13,31.456514358520508
2020-02-14,31.11295509338379
2020-02-18,30.88060760498047
2020-02-19,30.622440338134766
2020-02-20,30.602582931518555
2020-02-21,30.22724723815918
2020-02-24,28.44788932800293
2020-02-25,26.710235595703125
2020-02-26,25.776865005493164
2020-02-27,24.47610855102539
2020-02-28,23.73139762878418
2020-03-02,23.582456588745117
2020-03-03,23.0760555267334
2020-03-04,23.642032623291016
2020-03-05,21.507200241088867
2020-03-06,21.775297164916992
2020-03-09,20.295808792114258
2020-03-10,21.546918869018555
2020-03-11,20.037641525268555
2020-03-12,16.67155647277832
2020-03-13,18.081539154052734
2020-03-16,16.105575561523438
2020-03-17,15.867269515991211
2020-03-18,12.669984817504883
2020-03-19,12.074217796325684
2020-03-20,12.40188980102539
2020-03-23,12.491254806518555
2020-03-24,14.864395141601562
2020-03-25,16.204870223999023
2020-03-26,16.701343536376953
2020-03-27,15.440303802490234
2020-03-30,14.497005462646484
2020-03-31,14.626087188720703
2020-04-01,13.007586479187012
2020-04-02,12.570690155029297
2020-04-03,12.21323013305664
2020-04-06,12.719633102416992
2020-04-07,13.315399169921875
2020-04-08,14.159403800964355
2020-04-09,15.19206714630127
2020-04-13,14.457287788391113
2020-04-14,14.90411376953125
2020-04-15,14.685665130615234
2020-04-16,13.712577819824219
2020-04-17,14.248769760131836
2020-04-20,13.891307830810547
2020-04-21,13.633142471313477
2020-04-22,13.30547046661377
2020-04-23,13.30547046661377
2020-04-24,13.265751838684082
2020-04-27,13.315399169921875
2020-04-28,14.328204154968262
2020-04-29,15.519739151000977
2020-04-30,15.082842826843262
2020-05-01,13.99060344696045
2020-05-04,13.384905815124512
2020-05-05,13.017515182495117
2020-05-06,12.62033748626709
2020-05-07,12.709702491760254
2020-05-08,13.543777465820312
2020-05-11,13.15652847290039
2020-05-12,12.590550422668457
2020-05-13,12.064288139343262
2020-05-14,12.064288139343262
2020-05-15,11.915346145629883
2020-05-18,13.295541763305664
2020-05-19,13.11681079864502
2020-05-20,13.593424797058105
2020-05-21,13.821802139282227
2020-05-22,13.603354454040527
2020-05-26,15.201996803283691
2020-05-27,15.877199172973633
2020-05-28,15.23178482055664
2020-05-29,14.983548164367676
2020-06-01,15.559457778930664
2020-06-02,15.897058486938477
2020-06-03,17.058805465698242
2020-06-04,19.034765243530273
2020-06-05,19.94827651977539
2020-06-08,21.785226821899414
2020-06-09,20.315664291381836
2020-06-10,18.786531448364258
2020-06-11,16.373672485351562
2020-06-12,18.13118553161621
2020-06-15,17.98224449157715
2020-06-16,18.339704513549805
2020-06-17,18.00210189819336
2020-06-18,17.922666549682617
2020-06-19,17.44605255126953
2020-06-22,17.16802978515625
2020-06-23,17.22760581970215
2020-06-24,16.214799880981445
2020-06-25,16.463037490844727
2020-06-26,15.906988143920898
2020-06-29,16.711273193359375
2020-06-30,16.532543182373047
2020-07-01,16.403459548950195
2020-07-02,16.47296714782715
2020-07-06,16.840354919433594
2020-07-07,16.185012817382812
2020-07-08,16.214799880981445
2020-07-09,15.499879837036133
2020-07-10,16.065860748291016
2020-07-13,15.817622184753418
2020-07-14,15.887128829956055
2020-07-15,17.11838150024414
2020-07-16,16.55240249633789
2020-07-17,16.373672485351562
2020-07-20,16.016210556030273
2020-07-21,16.15522575378418
2020-07-22,16.08572006225586
2020-07-23,16.175085067749023
2020-07-24,15.817622184753418
2020-07-27,15.728257179260254
2020-07-28,15.946704864501953
2020-07-29,15.75804615020752
2020-07-30,15.519739151000977
2020-07-31,15.33107852935791
2020-08-03,15.410515785217285
2020-08-04,15.63889217376709
2020-08-05,16.1651554107666
2020-08-06,16.522613525390625
2020-08-07,16.532543182373047
2020-08-10,17.326900482177734
2020-08-11,17.50562858581543
2020-08-12,17.426193237304688
2020-08-13,17.18788719177246
2020-08-14,17.247465133666992
2020-08-17,16.74106216430664
2020-08-18,16.651697158813477
2020-08-19,16.69141387939453
2020-08-20,16.6616268157959
2020-08-21,16.522613525390625
2020-08-24,17.44605255126953
2020-08-25,17.4162654876709
2020-08-26,17.16802978515625
2020-08-27,17.7042179107666
2020-08-28,18.1709041595459
2020-08-31,17.63471221923828
2020-09-01,17.644643783569336
2020-09-02,17.912738800048828
2020-09-03,17.87302017211914
2020-09-04,18.12125587463379
2020-09-08,18.13118553161621
2020-09-09,17.843231201171875
2020-09-10,17.813444137573242
2020-09-11,17.803512573242188
2020-09-14,18.20069122314453
2020-09-15,18.270198822021484
2020-09-16,18.75674057006836
2020-09-17,18.55815315246582
2020-09-18,18.021961212158203
2020-09-21,16.86021614074707
2020-09-22,16.899932861328125
2020-09-23,16.582191467285156
2020-09-24,16.443178176879883
2020-09-25,16.641767501831055
2020-09-28,17.17795753479004
2020-09-29,16.74106216430664
2020-09-30,16.780780792236328
2020-10-01,16.99922752380371
2020-10-02,17.207746505737305
2020-10-05,17.336828231811523
2020-10-06,17.04887580871582
2020-10-07,17.525487899780273
2020-10-08,17.833301544189453
2020-10-09,17.86309051513672
2020-10-12,17.783655166625977
2020-10-13,17.396406173706055
2020-10-14,17.43612289428711
2020-10-15,17.287181854248047
2020-10-16,17.36661720275879
2020-10-19,17.555278778076172
2020-10-20,17.833301544189453
2020-10-21,17.67443084716797
2020-10-22,18.399280548095703
2020-10-23,18.5482234954834
2020-10-26,17.654573440551758
2020-10-27,17.158100128173828
2020-10-28,16.393529891967773
2020-10-29,16.81056785583496
2020-10-30,16.80063819885254
2020-11-02,16.820497512817383
2020-11-03,17.138240814208984
2020-11-04,17.068735122680664
2020-11-05,17.87302017211914
2020-11-06,17.62478256225586
2020-11-09,20.464609146118164
2020-11-10,20.146865844726562
2020-11-11,19.620603561401367
2020-11-12,19.094341278076172
2020-11-13,20.00785255432129
2020-11-16,20.76249122619629
2020-11-17,20.752561569213867
2020-11-18,20.851856231689453
2020-11-19,20.91143226623535
2020-11-20,20.613548278808594
2020-11-23,21.26889419555664
2020-11-24,22.40085220336914
2020-11-25,22.480287551879883
2020-11-27,22.480287551879883
2020-11-30,21.874591827392578
2020-12-01,22.251909255981445
2020-12-02,22.569652557373047
2020-12-03,23.423585891723633
2020-12-04,23.34415054321289
2020-12-07,23.27464485168457
2020-12-08,23.314359664916992
2020-12-09,23.006547927856445
2020-12-10,23.29450225830078
2020-12-11,22.79802894592285
2020-12-14,22.430639266967773
2020-12-15,22.877466201782227
2020-12-16,22.549793243408203
2020-12-17,22.599441528320312
2020-12-18,22.371065139770508
2020-12-21,21.854732513427734
2020-12-22,21.507200241088867
2020-12-23,22.08310890197754
2020-12-24,22.003671646118164
2020-12-28,22.172473907470703
2020-12-29,22.08207893371582
2020-12-30,22.32048225402832
2020-12-31,22.231081008911133
2021-01-04,21.446338653564453
2021-01-05,21.803943634033203
2021-01-06,22.13174819946289
2021-01-07,22.201282501220703
2021-01-08,22.05228042602539
2021-01-11,21.734407424926758
2021-01-12,22.151613235473633
2021-01-13,22.171480178833008
