Price,Aerospace ETF
Ticker,ITA
Date,
2020-01-02,107.82553100585938
2020-01-03,109.05844116210938
2020-01-06,109.20547485351562
2020-01-07,109.69863891601562
2020-01-08,108.9683609008789
2020-01-09,109.79349517822266
2020-01-10,108.38982391357422
2020-01-13,109.27183532714844
2020-01-14,109.23866271972656
2020-01-15,109.49000549316406
2020-01-16,110.7371597290039
2020-01-17,110.11597442626953
2020-01-21,109.25289154052734
2020-01-22,108.54631042480469
2020-01-23,109.65596008300781
2020-01-24,109.91204833984375
2020-01-27,109.0916519165039
2020-01-28,110.01636505126953
2020-01-29,110.06851959228516
2020-01-30,110.13491821289062
2020-01-31,107.97725677490234
2020-02-03,107.7923355102539
2020-02-04,109.59431457519531
2020-02-05,111.3868179321289
2020-02-06,112.68614959716797
2020-02-07,112.5533676147461
2020-02-10,113.26470184326172
2020-02-11,113.26943969726562
2020-02-12,113.71519470214844
2020-02-13,113.11769104003906
2020-02-14,112.90428161621094
2020-02-18,112.06967163085938
2020-02-19,111.90370178222656
2020-02-20,111.18767547607422
2020-02-21,110.8936538696289
2020-02-24,107.53150177001953
2020-02-25,102.19190979003906
2020-02-26,101.47111511230469
2020-02-27,97.511474609375
2020-02-28,95.26374816894531
2020-03-02,98.24176025390625
2020-03-03,96.64369201660156
2020-03-04,100.14334106445312
2020-03-05,93.7367935180664
2020-03-06,92.48961639404297
2020-03-09,83.62194061279297
2020-03-10,86.92716979980469
2020-03-11,79.04106903076172
2020-03-12,70.25872039794922
2020-03-13,74.63092803955078
2020-03-16,63.6292839050293
2020-03-17,64.99026489257812
2020-03-18,58.522071838378906
2020-03-19,59.53688049316406
2020-03-20,57.26067352294922
2020-03-23,55.7242317199707
2020-03-24,62.57656478881836
2020-03-25,68.9676284790039
2020-03-26,75.88014221191406
2020-03-27,71.09529113769531
2020-03-30,70.39881896972656
2020-03-31,68.62416076660156
2020-04-01,65.10350799560547
2020-04-02,64.80294799804688
2020-04-03,64.83158874511719
2020-04-06,70.06008911132812
2020-04-07,69.13460540771484
2020-04-08,72.01123046875
