Price,Transport ETF
Ticker,IYT
Date,
2020-01-02,46.19843673706055
2020-01-03,45.87971878051758
2020-01-06,45.60554122924805
2020-01-07,45.7649040222168
2020-01-08,46.142189025878906
2020-01-09,46.35074996948242
2020-01-10,46.118751525878906
2020-01-13,46.50542068481445
2020-01-14,46.931922912597656
2020-01-15,47.05143356323242
2020-01-16,47.53184127807617
2020-01-17,47.402957916259766
2020-01-21,46.54058074951172
2020-01-22,46.26873016357422
2020-01-23,46.833499908447266
2020-01-24,46.50542068481445
2020-01-27,45.37822723388672
2020-01-28,45.63600158691406
2020-01-29,45.8234748840332
2020-01-30,45.5516471862793
2020-01-31,44.417423248291016
2020-02-03,44.49006652832031
2020-02-04,45.305580139160156
2020-02-05,45.917213439941406
2020-02-06,45.734432220458984
2020-02-07,45.70396423339844
2020-02-10,45.7297477722168
2020-02-11,45.85395431518555
2020-02-12,46.28513717651367
2020-02-13,46.2382698059082
2020-02-14,45.696937561035156
2020-02-18,45.72270965576172
2020-02-19,46.06953048706055
2020-02-20,46.437461853027344
2020-02-21,45.91018295288086
2020-02-24,44.28620147705078
2020-02-25,42.390342712402344
2020-02-26,41.45063781738281
2020-02-27,40.007083892822266
2020-02-28,39.540740966796875
2020-03-02,39.92741775512695
2020-03-03,38.78380584716797
2020-03-04,40.16643524169922
2020-03-05,38.029232025146484
2020-03-06,37.759727478027344
2020-03-09,34.10162353515625
2020-03-10,35.90841293334961
2020-03-11,34.3101921081543
2020-03-12,30.670846939086914
2020-03-13,33.41265869140625
2020-03-16,29.714725494384766
2020-03-17,31.70195770263672
2020-03-18,29.260103225708008
2020-03-19,29.806121826171875
2020-03-20,28.835939407348633
2020-03-23,28.151655197143555
2020-03-24,31.8144474029541
2020-03-25,32.66780471801758
2020-03-26,33.962345123291016
2020-03-27,32.47208786010742
2020-03-30,32.83522415161133
2020-03-31,32.59470748901367
2020-04-01,31.026634216308594
2020-04-02,31.42042350769043
2020-04-03,30.81441307067871
2020-04-06,33.06866455078125
2020-04-07,33.21015167236328
2020-04-08,34.346702575683594
2020-04-09,34.76407241821289
2020-04-13,33.95763397216797
2020-04-14,34.49055099487305
2020-04-15,33.761905670166016
2020-04-16,33.67231750488281
2020-04-17,34.728702545166016
2020-04-20,33.62751388549805
2020-04-21,33.085174560546875
2020-04-22,33.042720794677734
2020-04-23,33.51433181762695
2020-04-24,34.136837005615234
2020-04-27,35.11069107055664
2020-04-28,35.43375015258789
2020-04-29,36.4075927734375
2020-04-30,35.351219177246094
2020-05-01,34.13920211791992
2020-05-04,33.32568359375
2020-05-05,33.60393524169922
2020-05-06,33.1252555847168
2020-05-07,33.653446197509766
2020-05-08,34.8065185546875
2020-05-11,34.400936126708984
2020-05-12,33.420005798339844
2020-05-13,32.689022064208984
2020-05-14,32.83757400512695
2020-05-15,32.43672561645508
2020-05-18,34.787662506103516
2020-05-19,34.417442321777344
2020-05-20,35.4691047668457
2020-05-21,35.353572845458984
2020-05-22,35.440818786621094
2020-05-26,37.21875
2020-05-27,38.28456497192383
2020-05-28,37.70686340332031
2020-05-29,37.57481002807617
2020-06-01,37.54888153076172
2020-06-02,38.26571273803711
2020-06-03,39.54375076293945
2020-06-04,40.09315872192383
2020-06-05,41.34526443481445
2020-06-08,42.1092529296875
2020-06-09,41.18963623046875
2020-06-10,40.133243560791016
2020-06-11,37.004180908203125
2020-06-12,38.05821228027344
2020-06-15,38.33060073852539
2020-06-16,38.834228515625
