Price,USD Index
Ticker,DX-Y.NYB
Date,
2020-01-02,96.8499984741211
2020-01-03,96.83999633789062
2020-01-06,96.66999816894531
2020-01-07,96.9800033569336
2020-01-08,97.30000305175781
2020-01-09,97.44999694824219
2020-01-10,97.36000061035156
2020-01-13,97.3499984741211
2020-01-14,97.37000274658203
2020-01-15,97.2300033569336
2020-01-16,97.31999969482422
2020-01-17,97.61000061035156
2020-01-21,97.52999877929688
2020-01-22,97.52999877929688
2020-01-23,97.69000244140625
2020-01-24,97.8499984741211
2020-01-27,97.95999908447266
2020-01-28,98.0199966430664
2020-01-29,97.98999786376953
2020-01-30,97.87000274658203
2020-01-31,97.38999938964844
2020-02-03,97.80000305175781
2020-02-04,97.95999908447266
2020-02-05,98.2699966430664
2020-02-06,98.5
2020-02-07,98.68000030517578
2020-02-10,98.83000183105469
2020-02-11,98.72000122070312
2020-02-12,99.05000305175781
2020-02-13,99.06999969482422
2020-02-14,99.12000274658203
2020-02-18,99.45999908447266
2020-02-19,99.5999984741211
2020-02-20,99.87000274658203
2020-02-21,99.26000213623047
2020-02-24,99.29000091552734
2020-02-25,98.97000122070312
2020-02-26,99.0
2020-02-27,98.44000244140625
2020-02-28,98.12999725341797
2020-03-02,97.36000061035156
2020-03-03,97.1500015258789
2020-03-04,97.33999633789062
2020-03-05,96.81999969482422
2020-03-06,95.94999694824219
2020-03-09,94.9000015258789
2020-03-10,96.41000366210938
2020-03-11,96.51000213623047
2020-03-12,97.47000122070312
2020-03-13,98.75
2020-03-16,98.08999633789062
2020-03-17,99.58000183105469
2020-03-18,101.16000366210938
2020-03-19,102.76000213623047
2020-03-20,102.81999969482422
2020-03-23,102.48999786376953
2020-03-24,101.73999786376953
2020-03-25,101.05000305175781
2020-03-26,99.41999816894531
2020-03-27,98.37000274658203
2020-03-30,99.18000030517578
2020-03-31,99.05000305175781
2020-04-01,99.66999816894531
2020-04-02,100.18000030517578
2020-04-03,100.58000183105469
2020-04-06,100.69000244140625
2020-04-07,99.9800033569336
2020-04-08,100.12000274658203
2020-04-09,99.5199966430664
2020-04-13,99.3499984741211
2020-04-14,98.88999938964844
2020-04-15,99.45999908447266
2020-04-16,100.02999877929688
2020-04-17,99.77999877929688
2020-04-20,99.95999908447266
2020-04-21,100.26000213623047
2020-04-22,100.38999938964844
2020-04-23,100.43000030517578
2020-04-24,100.37999725341797
2020-04-27,100.04000091552734
2020-04-28,99.87000274658203
2020-04-29,99.56999969482422
2020-04-30,99.0199966430664
2020-05-01,98.80000305175781
2020-05-04,99.4800033569336
2020-05-05,99.70999908447266
2020-05-06,100.08999633789062
2020-05-07,99.88999938964844
2020-05-08,99.7300033569336
2020-05-11,100.23999786376953
2020-05-12,99.93000030517578
2020-05-13,100.23999786376953
2020-05-14,100.47000122070312
2020-05-15,100.4000015258789
2020-05-18,99.66999816894531
2020-05-19,99.37000274658203
2020-05-20,99.12000274658203
2020-05-21,99.37000274658203
2020-05-22,99.86000061035156
2020-05-26,98.91000366210938
